Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Grant - Neurescue,https://www.crunchbase.com/funding_round/neurescue-grant--69c0e22f,Neurescue,https://www.crunchbase.com/organization/neurescue,Grant,2025-02-17,,,,,EIC Accelerator,EIC Accelerator,"51,732",,,,,"Neurescue, a medical device manufacturer based in Denmark, is developing cardiovascular devices to help emergency patients.","Biotechnology, Health Care, Medical Device","Copenhagen, Hovedstaden, Denmark, Europe",http://www.neurescue.com/,$1M to $10M,76000000,DKK,11105097,Early Stage Venture,5,1,,No,
Grant - Electric Sheep,https://www.crunchbase.com/funding_round/electric-sheep-368b-grant--ec12572b,Electric Sheep,https://www.crunchbase.com/organization/electric-sheep-368b,Grant,2025-02-27,500000,GBP,629830,,Innovate UK,Innovate UK,"56,346",,,,,Electric Sheep accelerates visual effects (VFX) using cutting-edge AI technologies.,"Artificial Intelligence (AI), Digital Media","London, England, United Kingdom, Europe",https://electricsheep.tv,,900000,GBP,1139790,Seed,3,1,,No,
Grant - Entopy,https://www.crunchbase.com/funding_round/entopy-grant--2c298e88,Entopy,https://www.crunchbase.com/organization/entopy,Grant,2023-04-11,145000,GBP,180228,,The Freight Innovation Fund,The Freight Innovation Fund,"72,637",,,,,Entopy's mission is to fundamentally change supply chain dynamics.,"Analytics, Electronics, Information Technology, Software","Newmarket, Suffolk, United Kingdom, Europe",https://www.entopy.com/,Less than $1M,145000,GBP,180228,,3,1,,No,
Grant - OpenFn,https://www.crunchbase.com/funding_round/openfn-grant--f8ac0b04,OpenFn,https://www.crunchbase.com/organization/openfn,Grant,2023-12-20,335340,USD,335340,,Patrick J. McGovern Foundation,Patrick J. McGovern Foundation,"74,541",,,,,"OpenFn is an IT firm that helps health and humanitarian interventions achieve scale through integration, automation, and interoperability.","Consulting, Health Care, Information Technology, Software Engineering","London, England, United Kingdom, Europe",https://openfn.org,$1M to $10M,1185340,USD,1185340,Seed,2,1,,No,
Grant - Hypefactors,https://www.crunchbase.com/funding_round/hypefactors-grant--a1f27b65,Hypefactors,https://www.crunchbase.com/organization/hypefactors,Grant,2022-09-29,988575,DKK,130666,,Innovation Fund Denmark,Innovation Fund Denmark,"78,231",,,,,Hypefactors is leading the PR tech revolution. All the tools to power your hype. All the facts to document your results.,"Analytics, Digital Media, Enterprise Software, Public Relations, Social Media","Copenhagen, Hovedstaden, Denmark, Europe",https://www.hypefactors.com/,$1M to $10M,10988575,DKK,1682618,IPO,3,1,,No,
Grant - SatoshiPay,https://www.crunchbase.com/funding_round/satoshipay-grant--dd1fe3b3,SatoshiPay,https://www.crunchbase.com/organization/satoshipay,Grant,2025-02-25,460000,USD,460000,,Web3 Foundation,Web3 Foundation,"78,439",,,,,Connecting the world through instant payments,"Blockchain, Content, FinTech, Payments","London, England, United Kingdom, Europe",https://satoshipay.io/,Less than $1M,3414753,USD,3414753,,10,1,,No,
Grant - Transmetrics,https://www.crunchbase.com/funding_round/transmetrics-grant--f9427725,Transmetrics,https://www.crunchbase.com/organization/transmetrics,Grant,2023-09-15,1700000,EUR,1813997,,NextGenerationEU,NextGenerationEU,"92,601",,,,,Transmetrics optimizes logistics planning and asset management by leveraging the power of predictive analytics and artificial intelligence.,"Analytics, Artificial Intelligence (AI), B2B, Business Intelligence, Logistics, Machine Learning, Predictive Analytics, SaaS, Shipping, Transportation","Sofia, Grad Sofiya, Bulgaria, Europe",https://www.transmetrics.ai/,Less than $1M,9020000,EUR,9985114,Seed,11,1,,No,
Grant - Karos,https://www.crunchbase.com/funding_round/karos-grant--f616d01b,Karos,https://www.crunchbase.com/organization/karos,Grant,2017-01-01,50000,USD,50000,,EASME,EASME,"94,357",,,,,"Karos transform available car seats into public transport networks, leveraging AI and mobile technologies.","Artificial Intelligence (AI), Machine Learning, Mobile Apps, Ride Sharing","Paris, Ile-de-France, France, Europe",http://www.karos.fr/,$1M to $10M,35427987,USD,35427987,Late Stage Venture,9,1,,No,
Grant - GreenSpur Wind,https://www.crunchbase.com/funding_round/greenspur-wind-grant--6efc0b34,GreenSpur Wind,https://www.crunchbase.com/organization/greenspur-wind,Grant,2023-09-08,,,,,Innovate UK,Innovate UK,"95,597",,,,,GreenSpur develops a new rare earth-free generator for the global offshore wind market.,"Energy, Innovation Management, Renewable Energy","Hatfield, Hertford, United Kingdom, Europe",https://www.greenspur.co.uk/,$1M to $10M,666240,GBP,938538,Seed,2,1,,No,
Grant - Cherry Biotech,https://www.crunchbase.com/funding_round/cherry-biotech-grant--8d09fe82,Cherry Biotech,https://www.crunchbase.com/organization/cherry-biotech,Grant,2022-11-11,2500000,EUR,2592874,,,European Innovation Council,"97,389",,,,,Cherry Biotech is a biomedical technology (Organ on Chip) company that develops instruments for drug discovery and personalised medicine,Biotechnology,"Montreuil, Ile-de-France, France, Europe",http://www.cherrybiotech.com,$1M to $10M,5000000,EUR,5317432,Seed,3,1,,No,
Grant - Softlead,https://www.crunchbase.com/funding_round/softlead-grant--0c272a69,Softlead,https://www.crunchbase.com/organization/softlead,Grant,2022-11-29,,,,,,InnovX,"97,800",,,,,"An integrated platform that helps companies grow by choosing the most suitable software applications, based on their Digital DNA.","Consulting, Enterprise Software, Software","Bucharest, Bucuresti, Romania, Europe",http://www.softlead.ro,Less than $1M,220000,EUR,244464,Seed,2,1,,No,
Grant - Cupffee,https://www.crunchbase.com/funding_round/cupffee-grant--f2ab72f3,Cupffee,https://www.crunchbase.com/organization/cupffee,Grant,2023-04-25,50000,USD,50000,,EBRD AgVenture,EBRD AgVenture,"104,061",,,,,Cupffee creates and sells edible coffee cups and stirrers.,"Coffee, Food and Beverage, Snack Food","Plovdiv, Plovdiv, Bulgaria, Europe",https://cupffee.me/,$1M to $10M,1988506,USD,1988506,Seed,3,1,,No,
Grant - Sensative,https://www.crunchbase.com/funding_round/sensative-ab-grant--62784a57,Sensative,https://www.crunchbase.com/organization/sensative-ab,Grant,2025-03-01,8681875,SEK,807181,,,,"106,764",,,,,"Sensative powers digital sovereignty with a platform and sensors to connect, control, and scale smart infrastructure.","Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home","Lund, Skane Lan, Sweden, Europe",http://www.sensative.com/,$1M to $10M,16225110,USD,16225110,,28,,,No,
Grant - Glowee,https://www.crunchbase.com/funding_round/glowee-grant--8662a09c,Glowee,https://www.crunchbase.com/organization/glowee,Grant,2021-06-03,1731625,EUR,2100607,,European Innovation Council,European Innovation Council,"108,981",,,,,"Glowee is developing a living, biological light system that is revolutionizing the light industry.","Biotechnology, Clean Energy, CleanTech, Electronics","Paris, Ile-de-France, France, Europe",http://www.glowee.fr/,$1M to $10M,1731625,EUR,2100607,,5,1,,No,
Grant - Sensative,https://www.crunchbase.com/funding_round/sensative-ab-grant--4df907ce,Sensative,https://www.crunchbase.com/organization/sensative-ab,Grant,2020-10-01,2395739,SEK,268510,,,,"127,022",,,,,"Sensative powers digital sovereignty with a platform and sensors to connect, control, and scale smart infrastructure.","Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home","Lund, Skane Lan, Sweden, Europe",http://www.sensative.com/,$1M to $10M,16225110,USD,16225110,,28,,,No,
Grant - SensArs,https://www.crunchbase.com/funding_round/sensars-grant--8566cce4,SensArs,https://www.crunchbase.com/organization/sensars,Grant,2017-08-01,50000,EUR,59056,,EASME,EASME,"129,665",,,,,SensArs is a medical device manufacturing company that restores limb functionalities for people affected by amputation or nerve damages.,"Health Care, Medical, Medical Device, Neuroscience","Lausanne, Vaud, Switzerland, Europe",https://www.sensars.com/,$1M to $10M,4819840,USD,4819840,Seed,11,1,,No,
Grant - Stealth Key,https://www.crunchbase.com/funding_round/stealth-key-by-urbanalps-ag-grant--5ac30b9c,Stealth Key,https://www.crunchbase.com/organization/stealth-key-by-urbanalps-ag,Grant,2013-10-22,10000,CHF,11141,,Venture Kick,Venture Kick,"128,207",,,,,UrbanAlps reinvents the mechanical key industry with 3D metal printing.,"3D Printing, Laser, Manufacturing, Physical Security","Zürich, Zurich, Switzerland, Europe",http://www.urbanalps.com,Less than $1M,7011081,CHF,7429328,Early Stage Venture,10,1,,No,
Grant - SentiSquare,https://www.crunchbase.com/funding_round/sentisquare-grant--143b21ad,SentiSquare,https://www.crunchbase.com/organization/sentisquare,Grant,2019-01-31,,,,,Space3ac,"EASME, Space3ac","129,126",,,,,"SentiSquare is an IT consulting firm that specializes in semantic analysis, natural language processing, and machine learning services.","Advertising, Analytics, Natural Language Processing, Social Media, Software","Pilsen, Plzensky kraj, Czech Republic, Europe",http://www.sentisquare.com/,Less than $1M,1010000,EUR,1215702,,3,2,,No,
Grant - Nervtech,https://www.crunchbase.com/funding_round/nervteh-grant--b5cc21f0,Nervtech,https://www.crunchbase.com/organization/nervteh,Grant,2017-02-01,50000,EUR,53846,,EASME,EASME,"129,545",,,,,"Nervtech is an R&D company specialized in simulations on biometric and cognitive driver evaluation, machine learning, and data integration.","Auto Insurance, Autonomous Vehicles, Big Data, Biometrics, Data Integration, Insurance, Machine Learning, Medical Device, Simulation, Virtual Reality","Ljubljana, Ljubljana Urban Commune, Slovenia, Europe",http://www.nervtech.com/,Less than $1M,290000,EUR,324656,Early Stage Venture,7,1,,No,
Grant - Kerionics,https://www.crunchbase.com/funding_round/kerionics-grant--076acc1e,Kerionics,https://www.crunchbase.com/organization/kerionics,Grant,2016-08-01,50000,EUR,55832,,EASME,EASME,"129,968",,,,,Kerionics is dedicated to the production of ceramic membranes modules and facilities for the separation of oxygen from the air.,"Chemical, Chemical Engineering, Manufacturing","Valencia, Comunidad Valenciana, Spain, Europe",http://kerionics.com/,,13050000,EUR,14796335,,4,1,,No,
Grant - Loop Medical,https://www.crunchbase.com/funding_round/loop-medical-grant--cdd0ca8c,Loop Medical,https://www.crunchbase.com/organization/loop-medical,Grant,2019-04-04,3200000,USD,3200000,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,"129,448",,,,,Loop Medical develops an easy and painless blood collection technology making it accessible to all.,"Health Care, Medical Device, Wellness","Lausanne, Vaud, Switzerland, Europe",http://www.loop-medical.com,Less than $1M,10149822,USD,10149822,Early Stage Venture,6,1,,No,
Grant - Calciscon,https://www.crunchbase.com/funding_round/calciscon-grant--3da415ea,Calciscon,https://www.crunchbase.com/organization/calciscon,Grant,2013-08-14,20000,CHF,21417,,Venture Kick,Venture Kick,"130,647",,,,,Calciscon's vision is to improve the cardiovascular risk management of kidney patients.,"Health Care, Health Diagnostics, Medical","Biel, Bern, Switzerland, Europe",http://www.calciscon.com/,$1M to $10M,3230000,CHF,3502693,Early Stage Venture,5,1,,No,
Grant - DRONAMICS,https://www.crunchbase.com/funding_round/dronamics-grant--a0c1031e,DRONAMICS,https://www.crunchbase.com/organization/dronamics,Grant,2024-03-19,10000000,EUR,10861702,,European Innovation Council,European Innovation Council,"155,114",,,,,DRONAMICS is a cargo drone airline that develops drone technology for cargo transportation and logistics operations.,"Aerospace, Drones, Logistics, Shipping","London, England, United Kingdom, Europe",https://www.dronamics.com,$10M to $50M,110093411,USD,110093411,,14,1,,No,
Grant - NEC OncoImmunity AS,https://www.crunchbase.com/funding_round/nec-oncoimmunity-as-grant--64b51b73,NEC OncoImmunity AS,https://www.crunchbase.com/organization/nec-oncoimmunity-as,Grant,2017-06-01,50000,EUR,56064,,,EASME,"156,865",,,,,NEC OncoImmunity AS is an artificial intelligence driven biotech company.,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Health Care, Machine Learning, Medical","Oslo, Oslo, Norway, Europe",https://www.oncoimmunity.com,$1M to $10M,7353102,USD,7353102,M&A,3,1,,No,
Grant - Food Sourcing Specialists S.L.,https://www.crunchbase.com/funding_round/food-sourcing-grant--af1d5b43,Food Sourcing Specialists S.L.,https://www.crunchbase.com/organization/food-sourcing,Grant,2019-04-01,1900000,EUR,2128959,,,,"157,132",,,,,"Trailblazers in the development of home compostable packaging, originally developed for our own sports nutrition products","Fitness, Food and Beverage, Organic Food, Packaging Services, Sports","Barcelona, Catalonia, Spain, Europe",https://foodsourcingspecialists.com/en/,,2804000,EUR,3233240,Seed,2,,,No,
Grant - Deneb Medical,https://www.crunchbase.com/funding_round/deneb-medical-grant--49827e96,Deneb Medical,https://www.crunchbase.com/organization/deneb-medical,Grant,2018-06-01,71429,EUR,83347,,,EASME,"158,594",,,,,Deneb Medical is a start-up dedicated to developing a robotic platform.,"Hospitality, Medical Device","San Sebastian, Pais Vasco, Spain, Europe",https://denebmedical.es/,Less than $1M,3325991,EUR,3798939,,4,1,,No,
Grant - CatalogPlayer,https://www.crunchbase.com/funding_round/catalogplayer-grant--2c296479,CatalogPlayer,https://www.crunchbase.com/organization/catalogplayer,Grant,2021-09-09,370000,EUR,437458,,,Centre for the Development of Industrial Technology (CDTI),"158,975",,,,,"CatalogPlayer is a Sales Enablement Platform for B2B teams to create, manage and share smart content for their sales.","CRM, E-Commerce, Mobile, SaaS, Sales Automation, Sales Enablement","Barcelona, Catalonia, Spain, Europe",http://www.catalogplayer.com,$1M to $10M,1000000,EUR,1178116,Seed,4,1,,No,
Grant - Magnes,https://www.crunchbase.com/funding_round/magnes-grant--d585e908,Magnes,https://www.crunchbase.com/organization/magnes,Grant,2017-10-01,265000,EUR,312934,,,Horizon 2020,"158,993",,,,,"Magnes, has developed a disruptive real-life-monitoring solution to analyze walk patterns of patients with neurological disorders.",Consulting,"Zürich, Zurich, Switzerland, Europe",http://magnes.ch/,Less than $1M,4522110,USD,4522110,Seed,11,1,,No,
Grant - Minut,https://www.crunchbase.com/funding_round/minut-grant--8f61ffca,Minut,https://www.crunchbase.com/organization/minut,Grant,2018-09-01,71429,EUR,82941,,,EASME,"164,261",,,,,"Minut is a computer software company that specializes in product design, hardware, electronics, software, IoT, and smart home.","Internet of Things, Security, Smart Home","Malmö, Skane Lan, Sweden, Europe",https://minut.com,$1M to $10M,18855485,USD,18855485,Early Stage Venture,9,1,,No,
Grant - TabTrader,https://www.crunchbase.com/funding_round/tabtrader-grant--2629b748,TabTrader,https://www.crunchbase.com/organization/tabtrader,Grant,2016-07-23,100000,EUR,109788,,,"IMPACT Accelerator, Rockstart","165,013",,,,,TabTrader is the mobile crypto trading terminal.,"Android, Apps, Bitcoin, Blockchain, Cryptocurrency, iOS, Mobile, Mobile Apps, Trading Platform","Amsterdam, Noord-Holland, The Netherlands, Europe",http://tabtrader.com/,$1M to $10M,7441095,USD,7441095,Seed,5,2,,No,
Grant - Nextome,https://www.crunchbase.com/funding_round/nextome-srls-grant--85bc5959,Nextome,https://www.crunchbase.com/organization/nextome-srls,Grant,2018-05-22,100000,EUR,117850,,,,"166,586",,,,,Nextome is the most advanced RTLS and indoor positioning solution that makes your venues smarter than ever.,"Mobile, Navigation, Software","Conversano, Puglia, Italy, Europe",http://www.nextome.com,$1M to $10M,2000000,EUR,2217822,Seed,5,,,No,
Grant - Aero Enterprise,https://www.crunchbase.com/funding_round/aero-enterprise-gmbh-grant--d2f7b0da,Aero Enterprise,https://www.crunchbase.com/organization/aero-enterprise-gmbh,Grant,2019-01-01,71429,EUR,81868,,,EASME,"166,887",,,,,"Aero Enterprise | Wind Turbine Inspections, AI Analysis & Reports","Drones, Robotics, Wind Energy","Linz, Oberosterreich, Austria, Europe",https://aero-enterprise.com,Less than $1M,71429,EUR,81868,Seed,3,1,,No,
Grant - ParkAround,https://www.crunchbase.com/funding_round/park-around-grant--cf79e218,ParkAround,https://www.crunchbase.com/organization/park-around,Grant,2013-11-01,,,,,,,"503,925",,,,,ParkAround helps users to easily find parking spaces in the area that are convenient for them.,"Android, iOS, Mobile, Parking, Public Transportation, Software","Athens, Attiki, Greece, Europe",http://www.parkaround.com,Less than $1M,550000,EUR,678330,Seed,6,,,No,
Grant - C2C NewCap,https://www.crunchbase.com/funding_round/charge2c-newcap-grant--377df3d8,C2C NewCap,https://www.crunchbase.com/organization/charge2c-newcap,Grant,2019-11-04,1400000,EUR,1557934,,,European Innovation Council,"167,900",,,,,C2C-NewCap has developed a breakthrough supercapacitor contributing towards more sustainable mobility.,"Energy, Energy Efficiency, Energy Storage","Lisbon, Lisboa, Portugal, Europe",https://www.c2cnewcap.com/,$1M to $10M,1600000,EUR,1775240,,4,1,,No,
Grant - Boneprox,https://www.crunchbase.com/funding_round/boneprox-grant--8c55c08a,Boneprox,https://www.crunchbase.com/organization/boneprox,Grant,2021-03-01,11000000,NOK,1285636,,,Norwegian Research Council,"165,000",,,,,Leading the Future of Digital Dentistry with Scandinavian Quality & Advanced Dental Imaging Solutions,"Artificial Intelligence (AI), Dental, Health Care, Machine Learning, Medical Device, SaaS","Göteborg, Vastra Gotaland, Sweden, Europe",https://www.boneprox.com/,Less than $1M,3696758,USD,3696758,Seed,4,1,,No,
Grant - EGZOTech,https://www.crunchbase.com/funding_round/egzotech-grant--841e1160,EGZOTech,https://www.crunchbase.com/organization/egzotech,Grant,2021-04-01,1200000,EUR,1413428,,,,"167,757",,,,,EGZOTech empowers physiotherapy with robots.,"Health Care, Manufacturing, Medical Device, Rehabilitation, Robotics","Gliwice, Slaskie, Poland, Europe",https://egzotech.com,$1M to $10M,4999024,USD,4999024,Seed,6,,,No,
Grant - Grönska,https://www.crunchbase.com/funding_round/grönska-grant--18fd8eb9,Grönska,https://www.crunchbase.com/organization/grönska,Grant,2017-11-01,170000,USD,170000,,,,"166,019",,,,,Grönska is a vertical farming company developing tech and producing vegetables and herbs locally.,"AgTech, Farming, Food and Beverage","Stockholm, Stockholms Lan, Sweden, Europe",https://www.gronska.org,,3412000,USD,3412000,,6,,,No,
Grant - Zensor,https://www.crunchbase.com/funding_round/zensor-grant--c9aef50d,Zensor,https://www.crunchbase.com/organization/zensor,Grant,2016-08-01,75000,EUR,83747,,,,"166,376",,,,,"Virtual Engineers - Making the life of production-critical installations safer, longer and more efficient. SaaS + Deployment.","Asset Management, Internet of Things, Predictive Analytics, Renewable Energy, Smart Cities","Brussel, Brussels Hoofdstedelijk Gewest, Belgium, Europe",https://www.zensor.be,$1M to $10M,1575000,EUR,1863239,Seed,5,,,No,
Grant - Watgrid,https://www.crunchbase.com/funding_round/watgrid-grant--111fcd55,Watgrid,https://www.crunchbase.com/organization/watgrid,Grant,2018-11-01,71429,EUR,81447,,,EASME,"168,613",,,,,Watgrid is a high tech Start-up company providing innovative products for liquid quality and quantity assessment.,"Internet of Things, Professional Services, Wine And Spirits","Aveiro, Aveiro, Portugal, Europe",https://watgrid.com/,Less than $1M,836429,EUR,967438,,5,1,,No,
