Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,"Accelerator, Venture Capital",623,13,"Tallinn, Harjumaa, Estonia","European Union (EU), Europe, Middle East, and Africa (EMEA)","Startup Wise Guys is a venture capital and private equity firm that invests in start ups, B2C and B2B.",447,,146,Active,2012-01-01,year,https://startupwiseguys.com/,https://www.linkedin.com/company/startup-wise-guys,"Banking, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Christian Testman, Cristobal Alonso, Herty Tammo, Jon Bradford, Mike Reiner",51-100,"Early Stage Venture, Seed, Venture",For Profit,,Private,828
LAUNCH,https://www.crunchbase.com/organization/launch-co,"Accelerator, Angel Group, Venture Capital",598,55,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Support founders and inspire innovation,382,3,161,Active,2011-01-01,year,http://launch.co,https://www.linkedin.com/company/launch-calacanis/,"Digital Media, Email Marketing, Events, Incubators, News, Venture Capital","Content and Publishing, Events, Financial Services, Lending and Investments, Media and Entertainment, Sales and Marketing",1,Jason Calacanis,11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,358
DCVC,https://www.crunchbase.com/organization/data-collective,Venture Capital,517,109,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",DCVC is an investment firm that invests in venture capital and private equity strategies.,322,18,95,Active,2011-01-01,year,https://www.dcvc.com/,https://www.linkedin.com/company/data-collective,"Big Data, Cyber Security, Enterprise Software, IT Infrastructure, Venture Capital","Data and Analytics, Financial Services, Information Technology, Lending and Investments, Privacy and Security, Software",2,"Matthew Ocko, Zachary Bogue",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,577"
Speedinvest,https://www.crunchbase.com/organization/speedinvest,Venture Capital,513,48,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Speedinvest is a venture capital fund investing in pre-seed, seed, and early-stage tech startups.",309,,203,Active,2011-06-01,day,http://speedinvest.com,https://www.linkedin.com/company/speedinvest,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Daniel Keiper-Knorr, Erik Bovee, Michael Schuster, Oliver Holle, Werner Zahnt",101-250,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,65
Social Starts,https://www.crunchbase.com/organization/social-starts,"Micro VC, Venture Capital",441,75,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Social Starts is a venture capital partnership that invests in companies focusing on emerging science.,340,1,10,Active,2012-01-01,year,http://socialstarts.com,https://www.linkedin.com/company/social-starts,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,William Lohse,11-50,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"17,842"
Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,Venture Capital,440,63,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Octopus Ventures is a venture capital firm that offers support to companies at various stages of their journey, from idea conception to IPO.",290,6,244,Active,2008-01-01,year,http://www.octopusventures.com,https://www.linkedin.com/company/octopus-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,,101-250,"Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,137
Coinbase Ventures,https://www.crunchbase.com/organization/coinbase-ventures,Corporate Venture Capital,422,20,"Oakland, California, United States","San Francisco Bay Area, West Coast, Western US",Coinbase Ventures is an investment arm of Coinbase that aims to invest in seed-stage cryptocurrency and blockchain startups.,375,1,32,Active,2018-01-01,year,https://ventures.coinbase.com,https://www.linkedin.com/company/coinbase,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,"Brian Armstrong, Fred Ehrsam",1001-5000,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,462
NFX,https://www.crunchbase.com/organization/nfxcapital,"Accelerator, Venture Capital",417,40,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","NFX is a VC firm investing in pre-seed and seed-stage startups, focusing on early-stage funding for tech-driven companies.",276,3,206,Active,2015-06-01,month,http://www.nfx.com,https://www.linkedin.com/company/nfx-guild/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"Gigi Levy Weiss, James Currier, Pete Flint, Stan Chudnovsky",51-100,"Early Stage Venture, Seed",,,Private,"2,206"
Dreamit Ventures,https://www.crunchbase.com/organization/dreamit-ventures,Venture Capital,403,53,"Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",Venture fund focused on startups with pilots or revenue that are ready to scale.,329,,86,Active,2007-01-01,year,http://www.dreamit.com,http://www.linkedin.com/company/dreamit-ventures,"Cloud Security, Fraud Detection, Generative AI, Identity Management, Intrusion Detection, Network Security, Penetration Testing, Physical Security, Privacy, Security","Administrative Services, Artificial Intelligence (AI), Financial Services, Information Technology, Payments, Privacy and Security",4,"David Bookspan, Elliot Menschik, Michael Levinson, Steve Welch",1-10,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",,,Private,"11,394"
ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,"Micro VC, Venture Capital",374,35,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","ff Venture Capital is a technology venture capital firm that invests in cybersecurity, AI, machine learning, drones, and cloud software.",157,3,66,Active,2008-12-01,day,http://www.ffvc.com,https://www.linkedin.com/company/ff-venture-capital,"Cyber Security, Financial Exchanges, Machine Learning, Software, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Lending and Investments, Privacy and Security, Software",2,"John Frankel, Mariusz Adamski",11-50,"Debt, Early Stage Venture, Late Stage Venture, Seed",,,Private,"4,639"
Everywhere Ventures,https://www.crunchbase.com/organization/everywhere-ventures,Venture Capital,371,15,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Everywhere Ventures is a venture capital firm that focuses on investing in early-stage technology companies.,303,,6,Active,2017-01-01,year,https://everywhere.vc,https://www.linkedin.com/company/28142574/admin/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Adam Carver, Jenny Fielding, Katie Hunt, Matthew Brimer, Scott Hartley",11-50,Early Stage Venture,,,Private,86
Tenity,https://www.crunchbase.com/organization/tenity,"Accelerator, Entrepreneurship Program, Incubator, Venture Capital",323,11,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Tenity is an innovation ecosystem and early-stage investor powering the future of finance.,313,1,291,Active,2015-01-01,year,https://www.tenity.com,https://www.linkedin.com/company/tenity,"Finance, Financial Services, FinTech, Incubators, InsurTech, Mobile Payments, Payments, Venture Capital","Financial Services, Lending and Investments, Mobile, Payments, Software",1,Andreas Iten,101-250,"Convertible Note, Early Stage Venture, Seed",For Profit,Made Acquisitions,Private,"2,586"
AME Cloud Ventures,https://www.crunchbase.com/organization/ame-cloud-ventures,Venture Capital,311,82,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",AME Cloud Ventures invests in seed to later-stage tech companies that build infrastructure and value chains around data.,221,16,15,Active,2012-01-01,year,http://www.amecloudventures.com,https://www.linkedin.com/company/ame-cloud-ventures,"Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",3,"Eli Harari, Jerry Chih Yuan Yang, Jerry Yang",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"14,961"
Bloomberg Beta,https://www.crunchbase.com/organization/bloomberg-beta,"Corporate Venture Capital, Venture Capital",306,43,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Bloomberg Beta is an early-stage venture fund backed by Bloomberg investing in startups focusing on machine learning and the future of work.,190,2,44,Active,2013-01-01,year,https://www.bloombergbeta.com,https://www.linkedin.com/company/bloombergbeta,"Financial Services, Machine Learning, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Software",1,Karin Klein,1-10,"Early Stage Venture, Seed",,,Private,"1,212"
Point Nine,https://www.crunchbase.com/organization/point-nine-capital,Venture Capital,293,42,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Point Nine Capital is a venture capital firm focusing on early-stage investments related to SaaS and digital marketplaces.,170,5,88,Active,2009-01-01,year,http://www.pointnine.com,http://www.linkedin.com/company/point-nine-capital,"Marketplace, SaaS, Venture Capital","Commerce and Shopping, Financial Services, Lending and Investments, Software",4,"Christoph Janz, Kolja Hebenstreit, Lukasz Gadowski, Pawel Chudzinski",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"3,123"
DN Capital,https://www.crunchbase.com/organization/dn-capital,Venture Capital,291,61,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",DN Capital operates as an early-stage venture capital firm.,158,9,74,Active,2000-09-01,day,http://dncapital.com,http://www.linkedin.com/company/dn-capital,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",3,"Giuseppe Miroglio, Nenad Marovac, Steve Schlenker",11-50,"Early Stage Venture, Seed",,,Private,"3,401"
Elevate Ventures,https://www.crunchbase.com/organization/elevate-ventures,Venture Capital,263,21,"Indianapolis, Indiana, United States","Great Lakes, Midwestern US","We invest in cross-sector innovation-driven companies at Pre-Seed, Seed and Series A stages who have a significant presence in Indiana.",210,,124,Active,2010-11-01,day,http://www.elevateventures.com,http://www.linkedin.com/company/elevate-ventures-inc-,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Christopher Day, Ting Gootee",11-50,"Convertible Note, Early Stage Venture, Grant, Late Stage Venture, Seed, Venture",,,Private,"2,815"
b2venture,https://www.crunchbase.com/organization/btovpartners,Venture Capital,253,37,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",b2venture is a venture capital firm focused on early-stage investments in digital and industrial technology companies.,145,3,58,Active,2000-01-01,year,http://www.b2venture.vc,https://www.linkedin.com/company/b2venture,"Asset Management, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",6,"Florian Schweitzer, Hermann Arnold, Jan Bomholt, Nicole Herzog, Peter Troxler, Philip Schnedler",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"3,676"
EIT InnoEnergy,https://www.crunchbase.com/organization/kic-innoenergy,"Accelerator, Venture Capital",237,7,"Eindhoven, Noord-Brabant, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",EIT InnoEnergy is an environmental services company that provides catalysing and accelerating energy transitions.,151,3,70,Active,2010-01-01,day,http://www.innoenergy.com,https://www.linkedin.com/school/eitinnoenergy,"Clean Energy, Energy, Energy Efficiency, Energy Management","Energy, Sustainability",2,"Diego Pavía, Elena Bou",251-500,"Early Stage Venture, Seed",For Profit,,Private,"8,866"
Cultivation Capital,https://www.crunchbase.com/organization/cultivation-capital,Venture Capital,233,38,"St Louis, Missouri, United States",Midwestern US,"Cultivation Capital is a venture capital firm managing funds focused on software, agriculture, geospatial, and health tech startups.",122,2,141,Active,2012-02-15,day,http://www.cultivationcapital.com,http://www.linkedin.com/company/cultivation-capital,"AgTech, FinTech, Geospatial, Life Science, Software, Venture Capital","Agriculture and Farming, Biotechnology, Data and Analytics, Financial Services, Lending and Investments, Navigation and Mapping, Science and Engineering, Software",6,"Brian Matthews, Cliff Holekamp, Jim McKelvey, Kyle Welborn, Peter Esparrago, Richard Holton, Jr.",11-50,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,682
Brinc,https://www.crunchbase.com/organization/brinc-io,"Accelerator, Venture Capital",233,4,"Central, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Brinc is a venture capital and accelerator firm that empowers game changers to help solve some of the world's biggest challenges.,210,1,71,Active,2014-01-01,year,http://www.brinc.io,https://www.linkedin.com/company/brinc-io,"Agriculture, Artificial Intelligence (AI), Blockchain, Clean Energy, Food and Beverage, Gaming, Health Care, Nutrition, Sustainability, Web3","Agriculture and Farming, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Energy, Food and Beverage, Gaming, Health Care, Internet Services, Other, Science and Engineering, Software, Sustainability",3,"Bashar Aboudaoud, Bay McLaughlin, Manav Gupta",101-250,"Early Stage Venture, Seed",,Made Acquisitions,Private,"5,159"
Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,Venture Capital,228,18,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Cherry Ventures is a seed fund, founded by entrepreneurs with substantial experience in building fast-scaling technology companies.",135,1,80,Active,2013-01-01,day,http://www.cherry.vc,https://www.linkedin.com/company/cherry-ventures,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",3,"Christian Meermann, Daniel Glasner, Filip Felician Dames",11-50,"Early Stage Venture, Seed",,,Private,165
Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,Venture Capital,228,29,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Atlantic Labs is a European first round investor, headquartered in Berlin.",128,2,108,Active,2013-01-01,year,http://www.atlanticlabs.de,https://www.linkedin.com/company/atlantic-labs/,Venture Capital,"Financial Services, Lending and Investments",1,Christophe Maire,11-50,"Early Stage Venture, Seed, Venture",,,Private,"1,676"
Orange DAO,https://www.crunchbase.com/organization/orange-fund,"Accelerator, Venture Capital",224,4,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Orange DAO is community venture capital.,203,,1,Active,2021-01-01,year,https://orangedao.xyz/,https://www.linkedin.com/company/orange-fund,"Cryptocurrency, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",1,Don Ho,1001-5000,"Early Stage Venture, Private Equity, Seed, Venture",For Profit,,Private,"1,105"
Target Global,https://www.crunchbase.com/organization/target-ventures,Venture Capital,222,24,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Target Global is a venture capital firm that invests in tech companies across all stages of their lifecycle.,138,6,93,Active,2015-01-01,year,http://www.targetglobal.vc,https://www.linkedin.com/company/target-global,"Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",3,"Mike Lobanov, Shmuel Chafets, Yaron Valler",11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed, Venture",,,Private,986
Industrifonden,https://www.crunchbase.com/organization/industrifonden,Venture Capital,211,34,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Industrifonden is a venture capital firm that focuses on early stage technology and life science companies with international potential.,128,11,77,Active,1979-01-01,year,http://www.industrifonden.com,http://www.linkedin.com/company/industrifonden,"Biotechnology, Finance, Financial Services, Management Consulting, Venture Capital","Biotechnology, Financial Services, Lending and Investments, Professional Services, Science and Engineering",,,11-50,"Early Stage Venture, Seed",,,Private,"14,660"
Heartcore Capital,https://www.crunchbase.com/organization/heartcore-capital,Venture Capital,207,23,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia",Heartcore is a venture capital firm that invests in companies that use technology to change people's lives for the better.,102,2,57,Active,2007-01-01,year,https://www.heartcore.com/,https://www.linkedin.com/company/heartcorecapital/about/,"Finance, Financial Exchanges, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Christian Jepsen, Jimmy Nielsen",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,892
Investible,https://www.crunchbase.com/organization/investible,"Angel Group, Venture Capital",190,15,"Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia","Investible is an Asia-Pacific-based early-stage VC, backing the visionaries advancing humanity through technology.",142,2,64,Active,2014-01-01,year,http://www.investible.com/,https://www.linkedin.com/company/investible,"Angel Investment, Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",3,"Creel Price, Trevor Folsom, Van Le",11-50,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"3,933"
Blockchain Capital,https://www.crunchbase.com/organization/crypto-currency-partners,Venture Capital,181,16,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Blockchain Capital is a venture capital firm investing in Blockchain-enabled technology companies.,138,1,54,Closed,2013-10-01,day,https://www.blockchaincapital.com,https://www.linkedin.com/company/crypto-currency-partners-lp,"Bitcoin, Blockchain, Cryptocurrency, Finance, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",3,"Brock Pierce, P Bart Stephens, W Bradford Stephens",11-50,"Crowdfunding, Early Stage Venture, Late Stage Venture, Secondary Market, Seed",,,Private,182
Cherubic Ventures,https://www.crunchbase.com/organization/cherubic-ventures,Venture Capital,177,18,"Taipei, T'ai-pei, Taiwan",Asia-Pacific (APAC),Cherubic Ventures is an early-stage venture capital firm that's active in both US and Asia.,143,4,32,Active,2014-01-01,year,http://www.cherubic.com,https://www.linkedin.com/company/cherubic-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Matt Cheng,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,831
GSR,https://www.crunchbase.com/organization/gsr,Venture Capital,175,2,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","GSR, founded in 2013, is a global leader in digital asset trading and market making.",167,1,9,Active,2013-01-01,year,https://www.gsr.io,https://www.linkedin.com/company/gsr-markets,"Blockchain, Cryptocurrency, FinTech, Trading Platform","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",3,"Alexis Sirkia, Cristian Gil, Rich Rosenblum",101-250,Early Stage Venture,,,Private,"2,285"
Firstminute Capital,https://www.crunchbase.com/organization/firstminute-capital,Venture Capital,173,11,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Firstminute Capital is an early-stage venture fund based in London, investing globally. Backed by 30 unicorn founders and global strategics.",125,,45,Active,2017-01-01,year,https://firstminute.capital/,https://www.linkedin.com/company/firstminutecap/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Brent Hoberman, Spencer Crawley",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,983
AU21 Capital,https://www.crunchbase.com/organization/au21-capital,Venture Capital,170,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",A fund dedicated to backing the most brilliant minds in the blockchain space,165,,9,Active,2017-01-01,year,https://au21.capital,https://www.linkedin.com/company/au21capital,"Angel Investment, Venture Capital","Financial Services, Lending and Investments",2,"Chandler Guo, Kenzi Wang",11-50,"Early Stage Venture, Initial Coin Offering, Seed",,,Private,"37,556"
7percent Ventures,https://www.crunchbase.com/organization/7-percent,"Micro VC, Venture Capital",168,13,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Ex-founders turned VCs, 7percent invests in early stage transformative and deep-tech startups and teams with moonshot ambitions.",116,,15,Active,2014-01-01,year,https://www.7pc.vc/,https://www.linkedin.com/company/7pcventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Andrew Gault, Andrew Scott",1-10,"Crowdfunding, Early Stage Venture, Seed, Venture",,,Private,"1,083"
Shima Capital,https://www.crunchbase.com/organization/shima-capital,Venture Capital,168,1,"San Juan, NA - Puerto Rico, Puerto Rico",Latin America,Shima Capital is an investment fund that focuses on supporting blockchain startups.,151,,38,Active,2021-01-01,year,https://shima.capital/,https://www.linkedin.com/company/shima-capital,"Blockchain, Cryptocurrency, Financial Services, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",1,Yida Gao,11-50,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private,"17,474"
Chiratae Ventures,https://www.crunchbase.com/organization/idg-ventures,Venture Capital,164,46,"Bangalore, Karnataka, India",Asia-Pacific (APAC),Chiratae Ventures is a global network of venture capital funds with approximately $3.6 billion under management.,124,4,50,Active,2000-01-01,year,http://www.chiratae.com,http://www.linkedin.com/company/1181583,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Sudhir Sethi, TC Meenakshisundaram",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,080"
Big Brain Holdings,https://www.crunchbase.com/organization/big-brain-holdings,Venture Capital,163,2,"Weston, Florida, United States","Greater Miami Area, East Coast, Southern US",Big Brain Holdings is Focused on Investing in Solana projects that have strong potential.,153,1,13,Active,2021-01-01,year,https://www.bigbrain.holdings/,https://www.linkedin.com/company/big-brain-holdings/,,,,,11-50,Early Stage Venture,,,Private,"7,505"
Starta VC,https://www.crunchbase.com/organization/starta-capital,"Accelerator, Venture Capital",158,6,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Starta is a venture ecosystem to find, foster and fund early stage talent in tech. We help startups gain traction in USA and scale globally.",147,,37,Active,2011-03-01,day,http://www.starta.vc,https://www.linkedin.com/company/startavc,"Angel Investment, Financial Services, Information Technology, Venture Capital","Financial Services, Information Technology, Lending and Investments",5,"Alexey Girin, Anastasia Lykova, Katya Kohen, Serge Milman, Sergey Vasilev",11-50,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"3,910"
