Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Acequia Capital (AceCap),https://www.crunchbase.com/organization/acequia-capital,Venture Capital,471,54,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Acequia Capital is a tech-focused fund that began in Seattle.,328,13,19,Active,2010-01-01,year,http://acecap.com,https://www.linkedin.com/company/acequia-capital/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Hank Vigil,11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,861"
LocalGlobe,https://www.crunchbase.com/organization/localglobe,"Micro VC, Venture Capital",408,71,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",LocalGlobe is a venture capital firm that focuses on seed and impact investments.,298,5,125,Active,2019-01-01,year,http://www.localglobe.vc,https://www.linkedin.com/company/localglobe,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Robin Klein, Saul Klein",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,113
Animoca Brands,https://www.crunchbase.com/organization/animoca-brands-corporation,Venture Capital,396,16,"Cyberport, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,359,5,151,Active,2014-01-01,year,https://www.animocabrands.com,https://www.linkedin.com/company/animoca-brands,"Apps, Blockchain, Casual Games, Developer Platform, Metaverse, Video Games","Apps, Blockchain and Cryptocurrency, Gaming, Media and Entertainment, Other, Software",1,Yat Siu,251-500,,For Profit,Made Acquisitions,Delisted,"2,846"
AltaIR Capital,https://www.crunchbase.com/organization/altair,Venture Capital,357,33,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Altair Capital is an early-stage venture investment company that invest in productivity tools, HR tech, and digital health companies.",284,,40,Active,2005-01-01,year,http://www.altair.vc,https://www.linkedin.com/company/9291712?trk=tyah&trkInfo=idx%3A1-2-2%2CtarId%3A1423597457926%2Ctas%3Aaltair+capital+manag,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Igor Ryabenkiy,11-50,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed, Venture",,,Private,"1,243"
Seedrs,https://www.crunchbase.com/organization/seedrs,Venture Capital,321,22,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Seedrs is a UK-based investment and crowdfunding platform.,245,2,223,Active,2009-01-01,year,http://www.seedrs.com,http://www.linkedin.com/company/397364,"Crowdfunding, Finance, Financial Services, Funding Platform, Venture Capital","Financial Services, Lending and Investments",2,"Carlos Silva, Jeff Lynn",101-250,"Crowdfunding, Early Stage Venture, Secondary Market, Seed, Venture",For Profit,"Made Acquisitions, Was Acquired",Private,"3,470"
Eleven Ventures,https://www.crunchbase.com/organization/eleven,Venture Capital,317,7,"Sofia, Grad Sofiya, Bulgaria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Eleven supports early-stage tech companies from Southeast Europe in Fintech, Healthcare, Future of Work and Future of Food.",161,,57,Active,2013-04-04,day,http://11.vc,https://www.linkedin.com/company/eleven-ventures-11/,"Consulting, Finance, Financial Services","Financial Services, Professional Services",4,"Daniel Tomov, Dilyan Dimitrov, Ivaylo Simov, Jon Bradford",11-50,"Convertible Note, Early Stage Venture, Secondary Market, Seed, Venture",,,Private,"3,927"
NXTP Ventures,https://www.crunchbase.com/organization/NXTP-Ventures,Venture Capital,277,31,"Buenos Aires, Distrito Federal, Argentina",Latin America,"Latin America’s Premier B2B-focused, Early-Stage Venture Capital Fund",210,1,17,Active,2011-01-01,year,http://www.nxtp.vc,https://www.linkedin.com/company/34647594/,"Business Information Systems, Cyber Security, FinTech, Logistics, SaaS","Financial Services, Information Technology, Privacy and Security, Software, Transportation",3,"Ariel Arrieta, Gonzalo Costa, Marta Cruz",11-50,"Early Stage Venture, Seed",,,Private,"2,356"
TSVC,https://www.crunchbase.com/organization/tsvcap,"Micro VC, Venture Capital",276,47,"Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",TSVC is a venture capital firm that focuses on seed-stage technology startups.,230,4,14,Active,2010-07-01,day,http://www.tsvcap.com,https://www.linkedin.com/company/tsvcap,"Angel Investment, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",2,"Chun Xia, Eugene Zhang",11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,"10,528"
Rockstart,https://www.crunchbase.com/organization/rockstart-accelerator,"Accelerator, Venture Capital",250,13,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Rockstart is an early stage investor that empowers purpose-driven founders across Energy, AgriFood and EmergingTech",211,,48,Active,2011-07-01,day,http://www.rockstart.com/,https://www.linkedin.com/company/rockstart,"Agriculture, AgTech, Clean Energy, Food Processing, Information Technology, Renewable Energy","Agriculture and Farming, Energy, Food and Beverage, Information Technology, Sustainability",5,"Don Ritzen, Hans Paul Pizzinini, Koen Wagemakers, Oscar Kneppers, Rune Theill",11-50,"Early Stage Venture, Seed",,,Private,"1,082"
EQT Ventures,https://www.crunchbase.com/organization/eqtventures,Venture Capital,220,22,"Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",EQT Ventures provides support and capital to bold and ambitious founders on their journeys to global success.,129,1,128,Active,2016-01-01,year,https://eqtventures.com,https://www.linkedin.com/company/eqt-ventures,"Finance, FinTech, Impact Investing, Venture Capital","Financial Services, Lending and Investments",3,"Hjalmar Winbladh, Kees Koolen, Lars Jörnow",11-50,"Early Stage Venture, Late Stage Venture, Venture",,,Private,64
Wing Venture Capital,https://www.crunchbase.com/organization/wing-venture-capital,Venture Capital,193,27,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Wing Venture Capital primarily invests in technology-based businesses.,113,5,48,Active,2013-07-03,day,http://wing.vc,https://www.linkedin.com/company/wing-venture-capital,"Business Development, Financial Services, Impact Investing, Machine Learning, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Professional Services, Software",2,"Gaurav Garg, Peter Wagner",51-100,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,160
LAUNCHub Ventures,https://www.crunchbase.com/organization/launchub,Venture Capital,175,11,"Sofia, Grad Sofiya, Bulgaria","European Union (EU), Europe, Middle East, and Africa (EMEA)",LAUNCHub Ventures is a leading early-stage VC actively investing in SEE&CEE tech startups in Seed and Series A stages.,104,,25,Active,2012-04-01,day,https://launchub.com,https://www.linkedin.com/company/launchub,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Lyuben Belov, Todor Breshkov",1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,436
Big Idea Ventures,https://www.crunchbase.com/organization/big-idea-ventures,"Accelerator, Micro VC, Venture Capital",140,6,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Solving the world's greatest challenges by backing the world's best entrepreneurs, scientists and engineers",117,,62,Active,2018-11-19,day,https://bigideaventures.com,https://linkedin.com/company/bigideaventures,"AgTech, Alternative Protein, Biotechnology, Food and Beverage, Nutrition","Agriculture and Farming, Biotechnology, Food and Beverage, Health Care, Science and Engineering",1,Andrew D. Ive,11-50,"Early Stage Venture, Private Equity, Seed, Venture",,,Private,"2,718"
GBV Capital,https://www.crunchbase.com/organization/genesis-block-ventures,"Incubator, Venture Capital",137,4,"Grand Cayman, Midland, Cayman Islands",,"GBV Capital focuses exclusively on investment related to blockchain technology, digital currency, and cryptocurrency",132,1,13,Active,2020-10-01,month,https://gbv.capital/,https://www.linkedin.com/company/gbv-capital/,"Blockchain, Cryptocurrency, Financial Services","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1,Leslie Tam,11-50,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,Made Acquisitions,Private,"45,562"
ZBS CAPITAL,https://www.crunchbase.com/organization/zbs-capital,Venture Capital,130,,"Kyiv, Kyyiv, Ukraine","Europe, Middle East, and Africa (EMEA)",ZBS Capital is a venture capital fund focused on companies building a decentralized world,130,,2,Active,2017-09-01,day,https://zbs.capital,https://www.linkedin.com/company/zbscapital,"Cryptocurrency, Financial Exchanges, Financial Services, Internet of Things, Marketing","Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Payments, Sales and Marketing, Software",2,"Pasha Bitseps, Vladyslav Skakun",1-10,"Crowdfunding, Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private,"11,589"
Credo Ventures,https://www.crunchbase.com/organization/credo-ventures,Venture Capital,127,17,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Credo Ventures is a venture capital company focused on early stage investments in Central and Eastern Europe.,78,1,48,Active,2009-03-02,day,http://www.credoventures.com,http://www.linkedin.com/company/credo-ventures,"Finance, Financial Services, Information Technology, Internet, Venture Capital","Financial Services, Information Technology, Internet Services, Lending and Investments",2,"Jan Habermann, Ondrej Bartos",1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"2,883"
Alpha JWC Ventures,https://www.crunchbase.com/organization/alpha-jwc-ventures,Venture Capital,115,7,"Jakarta Pusat, Jakarta Raya, Indonesia","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Alpha JWC Ventures is a value-adding venture capital firm with expertise in FinTech and Consumer tech sector.,81,,51,Active,2015-01-01,month,http://www.alphajwc.com,https://www.linkedin.com/company/alpha-jwc-ventures,"Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",3,"Chandra Tjan, Jefrey Joe, Will Ongkowidjaja",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"1,582"
Hashkey Exchange,https://www.crunchbase.com/organization/hashkey,Venture Capital,101,2,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Hashkey is a digital asset management and finance house.,90,1,14,Active,2018-01-01,year,https://www.hashkey.com,https://www.linkedin.com/company/hashkey-digital-asset-group,"Blockchain, Consulting, Financial Services, FinTech, Information Technology, Service Industry","Blockchain and Cryptocurrency, Financial Services, Information Technology, Other, Professional Services",1,Tony Chen,51-100,,For Profit,,Private,"8,325"
Airbus Ventures,https://www.crunchbase.com/organization/airbus-ventures,Venture Capital,96,9,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Airbus Ventures empowers entrepreneurs to shift the future of aerospace.,59,4,27,Active,2015-01-01,year,http://www.airbusventures.vc,https://www.linkedin.com/company/airbus-ventures,"Aerospace, Asset Management, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Science and Engineering",1,Thomas D'Halluin,1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,645
Initial Capital,https://www.crunchbase.com/organization/initial-capital,Venture Capital,91,22,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Initial Capital is an investor in seed and early-stage technology companies with a focus on games, consumer services & technology enablers.",69,,24,Active,2010-10-06,day,http://www.initialcapital.com,http://www.linkedin.com/company/2154584,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",6,"Ken Lamb, Kristian Segerstrale, Sam Lababidi, Shukri Shammas, Tarek Abuzayyad, Tareq Naqib",1-10,"Early Stage Venture, Seed",,,Private,"59,573"
Wave Digital Assets,https://www.crunchbase.com/organization/wave-digital-assets,Venture Capital,89,3,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US","Wave Digital Assets is a digital asset management company that combines venture capital, funds, and wealth management.",81,2,21,Active,2018-01-01,year,https://www.wavegp.com,https://www.linkedin.com/company/wave-digital-assets,"Asset Management, Blockchain, Cryptocurrency, Finance, Financial Services, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",4,"Benjamin Tsai, David Siemer, Jennifer Wilde Anderson, Les Borsai",11-50,,For Profit,,Private,"11,564"
Bek Ventures,https://www.crunchbase.com/organization/bek-ventures,Venture Capital,82,7,"Luxembourg, Luxembourg, Luxembourg","European Union (EU), Europe, Middle East, and Africa (EMEA)","Bek is a VC firm accompanying a select group of early-stage founders, now in its 2nd decade. Formerly known as Earlybird Digital East Fund.",35,1,47,Active,2013-01-01,year,https://www.bekventures.com/,https://www.linkedin.com/company/bekventures/,"Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",,,11-50,Early Stage Venture,,,Private,995
42CAP,https://www.crunchbase.com/organization/42cap,"Micro VC, Venture Capital",80,5,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","42CAP is a seed stage investment firm based in Munich, Germany.",46,,24,Active,2016-01-01,year,http://www.42cap.com,https://www.linkedin.com/company/42cap/,"SaaS, Venture Capital","Financial Services, Lending and Investments, Software",2,"Alex Meyer, Thomas Wilke",11-50,"Early Stage Venture, Seed, Venture",,,Private,"4,480"
Illuminate Financial,https://www.crunchbase.com/organization/illuminate-financial,Venture Capital,79,6,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Illuminate Financial is a venture capital firm backing companies that solve problems in financial services.,49,,38,Active,2014-01-01,month,http://illuminatefinancial.com/,https://www.linkedin.com/company/illuminate-financial-management/,"B2B, Enterprise Software, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments, Other, Software",1,Mark Beeston,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,265
Presto Ventures,https://www.crunchbase.com/organization/presto-ventures,Venture Capital,75,2,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Presto Ventures is a venture capital fund empowering talented CEE start-up founders.,59,,37,Active,2016-01-01,year,https://www.prestoventures.com/,https://www.linkedin.com/company/b-vc/,"Business Development, Finance, Venture Capital","Financial Services, Lending and Investments, Professional Services",1,Přemysl Rubeš,11-50,"Early Stage Venture, Seed, Venture",,,Private,"2,966"
Reflex Capital,https://www.crunchbase.com/organization/reflex-capital,Venture Capital,72,13,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)","Reflex Capital invests into people, their ideas, and their personalities. Industries are second.",52,,23,Active,2012-07-01,day,https://www.reflexcapital.com,https://www.linkedin.com/company/reflex-capital,"Finance, Venture Capital","Financial Services, Lending and Investments",2,"Josef Chvojka, Ondřej Fryc",1-10,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"8,916"
KAYA,https://www.crunchbase.com/organization/kaya-8ed9,Venture Capital,68,10,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)","KAYA is an early-stage VC fund with roots in CEE, investing in intrepid founders across Europe since 2010.",44,,17,Active,2010-01-01,year,https://www.kaya.vc/,https://www.linkedin.com/company/kayavc/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Pavel Mucha, Pavel Mucha, Radek Svec, Radovan Nesrsta, Tomas Cupr",1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"2,475"
PortfoLion Capital Partners,https://www.crunchbase.com/organization/portfolion,"Private Equity Firm, Venture Capital",68,8,"Budapest, Budapest, Hungary","European Union (EU), Europe, Middle East, and Africa (EMEA)",Portfolion is the venture capital and private equity arm of OTP Bank Plc. The CEE-focused multi-stage investor has EUR 400 AUM.,50,,29,Active,2010-01-01,year,https://www.portfolion.hu/en/,https://www.linkedin.com/company/portfolion-venture-capital-fund-management-plc-/,Venture Capital,"Financial Services, Lending and Investments",,,11-50,"Early Stage Venture, Late Stage Venture",,,Private,"6,549"
The Venture Reality Fund/VRF,https://www.crunchbase.com/organization/venture-reality-fund,Venture Capital,64,9,"Burlingame, California, United States","San Francisco Bay Area, West Coast, Western US",The Venture Reality Fund invests in AI and Spatial Computing to empower our Digital Future,48,,14,Active,2016-01-01,month,http://www.thevrfund.com,https://www.linkedin.com/company/the-venture-reality-fund-the-vr-fund/,"Artificial Intelligence (AI), Augmented Reality, Fashion, Gaming, Information Technology, Internet, Mobile, Social Media, Software, Virtual Reality","Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Gaming, Hardware, Information Technology, Internet Services, Media and Entertainment, Mobile, Science and Engineering, Software",2,"Marco DeMiroz, Tipatat Chennavasin",1-10,"Early Stage Venture, Seed, Venture",,,Private,"2,103"
Verissimo Ventures,https://www.crunchbase.com/organization/verissimo-ventures,Venture Capital,63,6,"Bedford, New Hampshire, United States","East Coast, New England, Northeastern US",Verissimo Ventures invest in early-stage technology companies.,54,,1,Active,2020-01-01,year,https://verissimo.vc/,https://www.linkedin.com/company/verissimo-ventures,,,2,"Alex Oppenheimer, David Oppenheimer",1-10,"Early Stage Venture, Seed",,,Private,"21,088"
Tera Ventures,https://www.crunchbase.com/organization/tera-ventures,Venture Capital,61,8,"Tallinn, Harjumaa, Estonia","European Union (EU), Europe, Middle East, and Africa (EMEA)",Tera Ventures is an international investment firm based in Estonia.,37,,41,Active,2016-01-01,year,https://tera.vc/,https://www.linkedin.com/company/10881003/,"Artificial Intelligence (AI), B2B, Cyber Security, E-Commerce, Enterprise Software, Finance, Financial Services, Legal Tech, Product Design, PropTech","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Design, Financial Services, Information Technology, Other, Privacy and Security, Professional Services, Real Estate, Science and Engineering, Software",4,"Andrus Oks, Eamonn Carey, James McDougall, Stanislav Ivanov",1-10,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"2,914"
ZAKA VC,https://www.crunchbase.com/organization/zaka-startups,"Family Investment Office, Venture Capital",61,,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)","ZAKA VC is a pre-seed and seed-focused VC fund, investing in tech startups in North America and Europe.",51,,10,Active,2019-01-01,year,https://zaka.vc/,https://www.linkedin.com/company/zakastartups/,"Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Jan Kasper,11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,"3,839"
Avalon Wealth Club,https://www.crunchbase.com/organization/avalon-wealth-club,Venture Capital,61,,"Helmshore, Lancashire, United Kingdom","Europe, Middle East, and Africa (EMEA)","Avalon Wealth is a group of marketing experts, blockchain veterans, real estate investors and event organizers.",60,,,Active,2021-01-01,year,https://avalonwealthclub.com/,,,,1,Abdul Qadir,1-10,"Early Stage Venture, Seed, Venture",,,Private,"26,759"
SpeedUp Venture Capital Group,https://www.crunchbase.com/organization/speedup-venture-capital-group,Venture Capital,54,6,"Poznan, Wielkopolskie, Poland","European Union (EU), Europe, Middle East, and Africa (EMEA)","We're a leading group of venture capital funds, investing in people who develop new technologies.",51,,12,Active,2009-09-01,month,http://speedupgroup.com,http://www.linkedin.com/company/speedup-group,"Artificial Intelligence (AI), Energy Storage, Finance, Financial Services, Medical, Medical Device, Renewable Energy, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Energy, Financial Services, Health Care, Lending and Investments, Science and Engineering, Software, Sustainability",4,"Arkadiusz Piechocki, Bartlomiej Gola, Michal Lehmann, Rene Xavier Gerard",11-50,"Early Stage Venture, Seed",,,Private,"8,196"
N1,https://www.crunchbase.com/organization/nation-1,Venture Capital,53,,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",N1 is a Prague and Luxembourg based venture capital firm.,37,,20,Active,2019-01-01,year,https://n1.rocks/,https://www.linkedin.com/company/n1ventures,,,2,"Jaroslav Trojan, Marek Moravec",1-10,"Early Stage Venture, Seed",,,Private,"3,252"
Lighthouse Ventures,https://www.crunchbase.com/organization/lighthouse-ventures-6458,"Accelerator, Venture Capital",53,3,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",An Early-Stage and Acceleration Venture Capital,46,,31,Active,2018-09-27,day,https://lhv.vc,https://www.linkedin.com/company/lighthouse-ventures-prague,,,4,"Jiri Janku, Michal Zalesak, Ravit Avidor, Vladislav Vintner",1-10,"Early Stage Venture, Seed",,,Private,"12,855"
Brighteye Ventures,https://www.crunchbase.com/organization/brighteye-ventures,Venture Capital,51,5,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Brighteye Ventures is a venture capital firm that invests in edtech companies.,39,,21,Active,2017-01-01,year,https://www.brighteyevc.com,https://www.linkedin.com/company/brighteye-ventures,"EdTech, Financial Services, Venture Capital","Education, Financial Services, Lending and Investments, Software",,,1-10,"Early Stage Venture, Seed",,,Private,"3,551"
MITON,https://www.crunchbase.com/organization/miton-cz-s-r-o,Venture Capital,51,4,"Prague, Hlavni mesto Praha, Czech Republic","European Union (EU), Europe, Middle East, and Africa (EMEA)",Company builders operating from Czech Republic and focusing on Central and Eastern Europe. We prefer building consumer facing businesses.,33,,26,Active,2000-06-06,day,http://www.miton.cz,https://www.linkedin.com/company/miton-cz/,"Business Development, Consumer, E-Commerce, Incubators","Commerce and Shopping, Financial Services, Lending and Investments, Other, Professional Services",4,"Michal Jirák, Milan Zemánek, Ondrej Raska, Tomas Matejcek",11-50,"Early Stage Venture, Seed",,Made Acquisitions,Private,"19,556"
