Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",624,74,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,422,2,82,Active,2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Reshma Sohoni, Saul Klein",11-50,"Early Stage Venture, Seed",For Profit,,Private,"1,874"
Speedinvest,https://www.crunchbase.com/organization/speedinvest,Venture Capital,513,48,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Speedinvest is a venture capital fund investing in pre-seed, seed, and early-stage tech startups.",309,,203,Active,2011-06-01,day,http://speedinvest.com,https://www.linkedin.com/company/speedinvest,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Daniel Keiper-Knorr, Erik Bovee, Michael Schuster, Oliver Holle, Werner Zahnt",101-250,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,65
Forum Ventures,https://www.crunchbase.com/organization/forumventures,"Accelerator, Venture Capital",496,40,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Forum Ventures is a venture capital firm that invests in early-stage startups, mainly in the SaaS and enterprise software sectors.",423,,149,Active,2014-01-01,day,https://www.forumvc.com,http://www.linkedin.com/company/forumvc,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Michael Cardamone, Nick Mehta",101-250,"Convertible Note, Early Stage Venture, Seed",,,Private,"3,291"
Acequia Capital (AceCap),https://www.crunchbase.com/organization/acequia-capital,Venture Capital,471,54,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",Acequia Capital is a tech-focused fund that began in Seattle.,328,13,19,Active,2010-01-01,year,http://acecap.com,https://www.linkedin.com/company/acequia-capital/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Hank Vigil,11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,861"
Octopus Ventures,https://www.crunchbase.com/organization/octopus-ventures,Venture Capital,440,63,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Octopus Ventures is a venture capital firm that offers support to companies at various stages of their journey, from idea conception to IPO.",290,6,244,Active,2008-01-01,year,http://www.octopusventures.com,https://www.linkedin.com/company/octopus-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",,,101-250,"Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,137
Coinbase Ventures,https://www.crunchbase.com/organization/coinbase-ventures,Corporate Venture Capital,422,20,"Oakland, California, United States","San Francisco Bay Area, West Coast, Western US",Coinbase Ventures is an investment arm of Coinbase that aims to invest in seed-stage cryptocurrency and blockchain startups.,375,1,32,Active,2018-01-01,year,https://ventures.coinbase.com,https://www.linkedin.com/company/coinbase,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,"Brian Armstrong, Fred Ehrsam",1001-5000,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,462
(ERA) Entrepreneurs Roundtable Accelerator,https://www.crunchbase.com/organization/er-accelerator,"Accelerator, Venture Capital",412,38,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",(ERA) Entrepreneurs Roundtable Accelerator is an early-stage venture capital fund and technology accelerator.,360,1,6,Active,2011-01-01,year,http://eranyc.com,https://www.linkedin.com/company/er-accelerator/,"Incubators, Internet, Venture Capital","Financial Services, Internet Services, Lending and Investments",3,"Charlie Kemper, Jonathan Axelrod, Murat Aktihanoglu",1-10,"Early Stage Venture, Seed",,,Private,"15,356"
LocalGlobe,https://www.crunchbase.com/organization/localglobe,"Micro VC, Venture Capital",408,71,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",LocalGlobe is a venture capital firm that focuses on seed and impact investments.,298,5,125,Active,2019-01-01,year,http://www.localglobe.vc,https://www.linkedin.com/company/localglobe,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Robin Klein, Saul Klein",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,113
Everywhere Ventures,https://www.crunchbase.com/organization/everywhere-ventures,Venture Capital,371,15,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Everywhere Ventures is a venture capital firm that focuses on investing in early-stage technology companies.,303,,6,Active,2017-01-01,year,https://everywhere.vc,https://www.linkedin.com/company/28142574/admin/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Adam Carver, Jenny Fielding, Katie Hunt, Matthew Brimer, Scott Hartley",11-50,Early Stage Venture,,,Private,86
Inovia Capital,https://www.crunchbase.com/organization/inovia-capital,Venture Capital,340,69,"Montréal, Quebec, Canada",,Inovia Capital is a venture capital firm that works with founders to create influential and permanent businesses.,220,5,120,Active,2007-12-20,day,https://www.inovia.vc,https://www.linkedin.com/company/inovia-capital,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Chris Arsenault,51-100,"Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,283
Tenity,https://www.crunchbase.com/organization/tenity,"Accelerator, Entrepreneurship Program, Incubator, Venture Capital",323,11,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Tenity is an innovation ecosystem and early-stage investor powering the future of finance.,313,1,291,Active,2015-01-01,year,https://www.tenity.com,https://www.linkedin.com/company/tenity,"Finance, Financial Services, FinTech, Incubators, InsurTech, Mobile Payments, Payments, Venture Capital","Financial Services, Lending and Investments, Mobile, Payments, Software",1,Andreas Iten,101-250,"Convertible Note, Early Stage Venture, Seed",For Profit,Made Acquisitions,Private,"2,586"
Seedrs,https://www.crunchbase.com/organization/seedrs,Venture Capital,321,22,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Seedrs is a UK-based investment and crowdfunding platform.,245,2,223,Active,2009-01-01,year,http://www.seedrs.com,http://www.linkedin.com/company/397364,"Crowdfunding, Finance, Financial Services, Funding Platform, Venture Capital","Financial Services, Lending and Investments",2,"Carlos Silva, Jeff Lynn",101-250,"Crowdfunding, Early Stage Venture, Secondary Market, Seed, Venture",For Profit,"Made Acquisitions, Was Acquired",Private,"3,470"
Eleven Ventures,https://www.crunchbase.com/organization/eleven,Venture Capital,317,7,"Sofia, Grad Sofiya, Bulgaria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Eleven supports early-stage tech companies from Southeast Europe in Fintech, Healthcare, Future of Work and Future of Food.",161,,57,Active,2013-04-04,day,http://11.vc,https://www.linkedin.com/company/eleven-ventures-11/,"Consulting, Finance, Financial Services","Financial Services, Professional Services",4,"Daniel Tomov, Dilyan Dimitrov, Ivaylo Simov, Jon Bradford",11-50,"Convertible Note, Early Stage Venture, Secondary Market, Seed, Venture",,,Private,"3,927"
Point Nine,https://www.crunchbase.com/organization/point-nine-capital,Venture Capital,293,42,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Point Nine Capital is a venture capital firm focusing on early-stage investments related to SaaS and digital marketplaces.,170,5,88,Active,2009-01-01,year,http://www.pointnine.com,http://www.linkedin.com/company/point-nine-capital,"Marketplace, SaaS, Venture Capital","Commerce and Shopping, Financial Services, Lending and Investments, Software",4,"Christoph Janz, Kolja Hebenstreit, Lukasz Gadowski, Pawel Chudzinski",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"3,123"
Seventure Partners,https://www.crunchbase.com/organization/seventure-partners,Venture Capital,285,68,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Seventure Partners is a French venture capital firm targeting Tech/Digital and Life Sciences companies.,197,19,105,Active,1997-01-01,year,http://www.seventure.fr,http://www.linkedin.com/company/seventure-partners,"Cyber Security, E-Commerce, E-Commerce Platforms, Marketplace, Retail, Retail Technology, SaaS, Software, Sports, Water Purification","Commerce and Shopping, Hardware, Information Technology, Internet Services, Privacy and Security, Software, Sports, Sustainability",1,Isabelle de Cremoux,11-50,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",,,Private,781
Rockstart,https://www.crunchbase.com/organization/rockstart-accelerator,"Accelerator, Venture Capital",250,13,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Rockstart is an early stage investor that empowers purpose-driven founders across Energy, AgriFood and EmergingTech",211,,48,Active,2011-07-01,day,http://www.rockstart.com/,https://www.linkedin.com/company/rockstart,"Agriculture, AgTech, Clean Energy, Food Processing, Information Technology, Renewable Energy","Agriculture and Farming, Energy, Food and Beverage, Information Technology, Sustainability",5,"Don Ritzen, Hans Paul Pizzinini, Koen Wagemakers, Oscar Kneppers, Rune Theill",11-50,"Early Stage Venture, Seed",,,Private,"1,082"
Verve Ventures,https://www.crunchbase.com/organization/verve-ventures,Venture Capital,241,24,"Zug, Zug, Switzerland","Europe, Middle East, and Africa (EMEA)",Verve Ventures is a European startup investment platform for private and institutional investors.,160,1,36,Active,2010-01-01,day,http://verve.vc,https://www.linkedin.com/company/verveventures,"Business Development, Consulting, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments, Professional Services",1,Lukas Weber,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,313
Notion Capital,https://www.crunchbase.com/organization/notion-capital,Venture Capital,239,31,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Notion is an early-stage venture fund that focuses on technology and cloud computing markets.,147,1,77,Active,2009-01-01,year,https://notion.vc,http://www.linkedin.com/company/notion-capital,"Finance, Financial Services, FinTech, SaaS, Software, Venture Capital","Financial Services, Lending and Investments, Software",5,"Ben White, Chris Tottman, Ian Milbourn, Jos White, Stephen Chandler",11-50,"Early Stage Venture, Seed",,,Private,520
SAP.iO,https://www.crunchbase.com/organization/sap-io,"Accelerator, Corporate Venture Capital, Incubator",235,36,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",SAP.iO helps innovators start-up and scale with SAP.,218,,186,Active,2017-03-01,month,https://sap.io,https://www.linkedin.com/company/sap.io,"B2B, Business Development, Enterprise Software, Internet, Software, Venture Capital","Financial Services, Internet Services, Lending and Investments, Other, Professional Services, Software",1,Ram Jambunathan,51-100,"Early Stage Venture, Seed, Venture",,,Private,"4,111"
EIT Digital Accelerator,https://www.crunchbase.com/organization/eit-digital-accelerator,"Accelerator, Venture Capital",235,44,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",Scaling up European Digital Ventures,230,2,6,Active,2010-01-01,year,https://www.eitdigital.eu/accelerator/,https://www.linkedin.com/company/eit-digital,Business Development,Professional Services,,,101-250,"Early Stage Venture, Grant, Seed",,,Private,"23,298"
360 Capital,https://www.crunchbase.com/organization/360-capital-partners,Venture Capital,226,45,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",360 Capital is a Pan-European Early-Stage Venture Capital firm based in Paris and Milan.,136,11,73,Active,1997-01-01,year,https://360cap.vc/,http://www.linkedin.com/company/360-capital-partners,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Celeste Mastria, Claudia Pingue, Fausto Boni, Lucrezia L., Sebastiano Silvestri",11-50,"Early Stage Venture, Seed, Venture",,Made Acquisitions,Private,176
XAnge,https://www.crunchbase.com/organization/xange-private-equity,"Micro VC, Venture Capital",220,37,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","XAnge is a Franco-German team of venture capital investors that manages assets and invests in digital, deeptech, and impact startups.",145,4,72,Active,2004-01-01,year,https://www.xange.vc,http://www.linkedin.com/company/xange-private-equity,"Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,Was Acquired,Private,801
Ventech,https://www.crunchbase.com/organization/ventech-capital,Venture Capital,217,48,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ventech is a European & Chinese early-stage investment fund that invests in the digital economy.,129,6,67,Active,1998-01-01,year,http://www.ventechvc.com,http://www.linkedin.com/company/ventech,"Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",1,Alain Caffi,11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,444
TA Ventures,https://www.crunchbase.com/organization/ta-venture,Venture Capital,215,46,"Frankfurt, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","TA Ventures is a global VC firm empowering founders to build innovative, scalable technology companies.",176,2,6,Active,2010-01-01,year,http://www.taventures.vc,https://www.linkedin.com/company/ta-ventures/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Viktoriya Tigipko,11-50,"Early Stage Venture, Seed, Venture",,,Private,"16,369"
Elaia,https://www.crunchbase.com/organization/elaia-partners,Venture Capital,203,43,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","European venture capital firm focused on digital & deep tech startups, from early stage to growth development.",138,1,96,Active,2002-01-01,year,https://www.elaia.com,http://www.linkedin.com/company/elaia-partners,"B2B, Financial Services, Venture Capital","Financial Services, Lending and Investments, Other",2,"Philippe Gire, Xavier Lazarus",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"10,513"
Lakestar,https://www.crunchbase.com/organization/lakestar,Venture Capital,193,28,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",Lakestar is a venture capital firm investing in technology companies led by exceptional entrepreneurs.,121,6,66,Active,2012-01-01,year,http://www.lakestar.com,http://www.linkedin.com/company/lakestar-lp,"FinTech, Real Estate, Telecommunications","Financial Services, Hardware, Real Estate",1,Klaus Hommels,11-50,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,Private,837
YZi Labs,https://www.crunchbase.com/organization/binance-labs-b05e,"Incubator, Venture Capital",175,,"Birkirkara, NA - Malta, Malta","European Union (EU), Middle East and North Africa (MENA), Europe, Middle East, and Africa (EMEA)","YZi Labs identifies, invests, and empowers viable blockchain entrepreneurs, startups, and communities.",158,,113,Active,2017-01-01,year,https://www.yzilabs.com,https://www.linkedin.com/company/binancelabs,"Blockchain, Finance, Financial Services, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other",4,"Changpeng Zhao, Christy Choi, Marko Henrico, Tyler Z.",1-10,"Seed, Venture",,,Private,215
Pfizer Venture Investments,https://www.crunchbase.com/organization/pfizer-venture-investments,Corporate Venture Capital,166,45,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Pfizer Venture Investments is a corporate venture capital firm that invests in areas of current or future strategic interest to Pfizer.,109,29,46,Active,2004-01-01,year,https://www.pfizer.com/partners/venture-investments,,"Business Development, Finance, Financial Services, Life Science, Venture Capital","Biotechnology, Financial Services, Lending and Investments, Professional Services, Science and Engineering",,,10001+,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",,,Private,"13,162"
redalpine,https://www.crunchbase.com/organization/redalpine-venture-partners,Venture Capital,161,15,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",redalpine is the Swiss venture capital firm investing in the frontiers of software & science across Europe.,82,,61,Active,2006-01-01,year,http://www.redalpine.com,https://www.linkedin.com/company/redalpine/,Venture Capital,"Financial Services, Lending and Investments",3,"Michael Sidler, Peter Niederhauser, Philip Kneis",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"2,193"
Hatcher+,https://www.crunchbase.com/organization/hatcher,"Micro VC, Venture Capital",154,7,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Hatcher+ offers a data-driven venture firm that uses AI/ML-based technologies to identify early-stage opportunities.,151,1,91,Active,2016-06-29,day,https://hq.hatcher.com,http://www.linkedin.com/company/hatcher,"Analytics, Artificial Intelligence (AI), Big Data, FinTech, Incubators, Machine Learning, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",3,"Dan Hoogterp, John Sharp, Wissam Otaky",11-50,"Early Stage Venture, Seed",For Profit,,Private,933
Karista,https://www.crunchbase.com/organization/karista,Venture Capital,143,32,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","VC firm with a focus on early-stage innovative companies with high-growth potential in Health, Digital, Tech, and NewSpace.",94,7,22,Active,2001-01-01,day,https://www.karista.vc/,http://linkedin.com/company/karistavc,Venture Capital,"Financial Services, Lending and Investments",1,Olivier Dubuisson,1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed",,Made Acquisitions,Private,"1,711"
Bosch Ventures,https://www.crunchbase.com/organization/robert-bosch-venture-capital,Corporate Venture Capital,142,28,"Stuttgart, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Bosch Ventures (Robert Bosch Venture Capital GmbH) is the corporate venture capital company of the Bosch Group,88,4,41,Active,2007-01-01,year,http://www.rbvc.com,https://www.linkedin.com/company/robert-bosch-venture-capital/,Venture Capital,"Financial Services, Lending and Investments",1,Adam Jackson,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,173
Swisscom Ventures,https://www.crunchbase.com/organization/swisscom-ventures,Venture Capital,142,41,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)","Swisscom Ventures is the corporate venture capital arm of Swisscom, that specializes in early stage tech investments.",100,7,39,Active,2005-01-01,year,https://ventures.swisscom.com,https://www.linkedin.com/company/swisscom-ventures/,"Big Data, Cloud Computing, FinTech, Telecommunications, Venture Capital","Data and Analytics, Financial Services, Hardware, Internet Services, Lending and Investments, Software",1,Dominique Megret,11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"1,832"
Pario Ventures,https://www.crunchbase.com/organization/pario-ventures,"Accelerator, Venture Capital",142,21,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Pario works with entrepreneurs, CEOs, to identify and implement an exit strategy for the founder or shareholders including investment",134,8,7,Active,2010-11-11,day,http://www.parioventures.com,https://www.linkedin.com/company/pario-ventures/,"Artificial Intelligence (AI), Automotive, Battery, Energy Efficiency, Fast-Moving Consumer Goods, Gaming, Oil and Gas, Renewable Energy, Subscription Service","Artificial Intelligence (AI), Consumer Goods, Data and Analytics, Energy, Gaming, Natural Resources, Other, Real Estate, Science and Engineering, Software, Sustainability, Transportation",2,"David Murray-Hundley, Kevin Doyle",1-10,"Crowdfunding, Debt, Early Stage Venture, Grant, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private,"3,303"
GBV Capital,https://www.crunchbase.com/organization/genesis-block-ventures,"Incubator, Venture Capital",137,4,"Grand Cayman, Midland, Cayman Islands",,"GBV Capital focuses exclusively on investment related to blockchain technology, digital currency, and cryptocurrency",132,1,13,Active,2020-10-01,month,https://gbv.capital/,https://www.linkedin.com/company/gbv-capital/,"Blockchain, Cryptocurrency, Financial Services","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1,Leslie Tam,11-50,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,Made Acquisitions,Private,"45,562"
AgFunder,https://www.crunchbase.com/organization/agfunder,"Micro VC, Venture Capital",136,8,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",AgFunder invests in impactful companies that can positively transform the world's food system.,102,1,33,Active,2013-09-01,day,http://agfunder.com,http://www.linkedin.com/company/agfunder,"Agriculture, AgTech, FinTech, Food and Beverage","Agriculture and Farming, Financial Services, Food and Beverage",3,"Melissa Tilney, Michael Dean, Rob Leclerc",11-50,"Convertible Note, Early Stage Venture, Seed",,,Private,"1,701"
