Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status
Fluxunit - Osram Ventures,https://www.crunchbase.com/organization/fluxunit-osram-ventures,Corporate Venture Capital,19,2,"München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Fluxunit invest in B2B startups with novel technologies and innovative business models.,3,12,1,Active,2016-01-01,year,http://www.fluxunit.de,https://www.linkedin.com/company/fluxunit-osram-ventures/,"Agriculture and Farming, Financial Services, Hardware, Health Care, Lending and Investments, Science and Engineering, Software, Transportation","Augmented Reality, Autonomous Vehicles, Farming, Horticulture, Lighting, Medical, Robotics, Semiconductor, Venture Capital, Virtual Reality",1,Ulrich Eisele,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Start Ventures,https://www.crunchbase.com/organization/big-start-ventures,Venture Capital,19,,"Lisbon, Lisboa, Portugal","European Union (EU), Europe, Middle East, and Africa (EMEA)",Global early-stage Venture Capital invest in B2B startups in the Financial Sector - Fintech and Insurtech,3,12,,Active,,,https://www.startventures.vc,https://www.linkedin.com/company/startventuresvc/,Financial Services,"FinTech, InsurTech",,,1-10,"Early Stage Venture, Seed",,,Private
HW Capital,https://www.crunchbase.com/organization/hw-capital,"Private Equity Firm, Venture Capital",19,4,"München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",HW Capital is an investment firm with a focus on the financial services industry.,5,13,,Active,2012-01-01,year,http://www.hwcapital.de/,https://www.linkedin.com/company/hw-capital-gmbh/,"Financial Services, Internet Services","Finance, Financial Services, FinTech, Internet",1,Marcus Wolsdorf,1-10,,,,Private
Hash CIB,https://www.crunchbase.com/organization/hashcib,"Hedge Fund, Venture Capital",19,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Hash CIB offers financial solutions in the crypto-asset markets.,,16,,Active,2018-01-01,year,https://hashcib.com/,https://www.linkedin.com/company/hashcib/,Financial Services,Financial Services,1,Yakov Barinsky,1-10,"Early Stage Venture, Initial Coin Offering, Seed, Venture",,,Private
SI Ventures,https://www.crunchbase.com/organization/si-ventures,Venture Capital,19,5,"Fort Myers, Florida, United States","East Coast, Southern US",SI Ventures is a venture capital firm focusing on information technology (IT) and communications infrastructure companies.,5,13,,Active,1996-01-01,year,http://www.siventures.com/,,,,2,"John Halligan, Manny Fernandez",1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private
CD-Venture,https://www.crunchbase.com/organization/cd-venture,Venture Capital,19,6,"Heidelberg, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",C.D. Ventures works collaboratively with clients to design sustainable change management solutions in Texas.,,10,2,Active,2003-01-01,year,http://www.cd-venture.com,https://www.linkedin.com/company/c-d-venture,"Biotechnology, Financial Services, Lending and Investments, Science and Engineering","Finance, Financial Services, Life Science, Venture Capital",,,1-10,"Early Stage Venture, Late Stage Venture",,,Private
NEON Adventures,https://www.crunchbase.com/organization/neon-adventures,"Family Investment Office, Micro VC, Venture Capital",19,4,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","NEON Adventures is a single family office with interests across technology, property, lifestyle and philanthropy.",2,17,,Active,2014-01-01,day,http://neon.com,http://www.linkedin.com/company/3580493,"Financial Services, Lending and Investments, Real Estate","Finance, Property Management, Venture Capital",1,Neil Hutchinson,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private
Diaspora Ventures,https://www.crunchbase.com/organization/diaspora-ventures,Venture Capital,19,1,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Diaspora Ventures invests in the next generation of french entrepreneurs building tech companies.,,19,,Active,2020-01-01,year,https://www.diaspora.vc/,https://www.linkedin.com/company/diasporavc/,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",2,"Carlos Diaz, Ilan Abehassera",1-10,Seed,,,Private
Coefficient Capital,https://www.crunchbase.com/organization/coefficient-capital,"Private Equity Firm, Venture Capital",18,3,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Coefficient Capital invests in transformational consumer shifts.,11,14,1,Active,2018-01-01,year,https://www.coefficientcap.com,https://www.linkedin.com/company/coefficient-capital,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",2,"Andrew Goletka, Franklin Isacson",1-10,"Early Stage Venture, Late Stage Venture, Venture",,,Private
Zero Carbon Capital,https://www.crunchbase.com/organization/zero-carbon-capital,Venture Capital,18,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Early-stage venture capital fund building innovative, scientific solutions to the biggest, hardest challenges of decarbonisation.",7,15,,Active,2019-06-01,month,https://Zerocarbon.capital,https://www.linkedin.com/company/zerocarboncap,Sustainability,CleanTech,2,"Alex Gawley, Pippa Gawley",11-50,"Early Stage Venture, Seed",,,Private
StillMark,https://www.crunchbase.com/organization/stillmark,"Angel Group, Venture Capital",18,,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",StillMark is a venture capital firm,7,16,,Active,2019-01-01,year,https://www.stillmark.com,https://www.linkedin.com/company/stillmark,,,1,Alyse Killeen,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private
Climentum Capital,https://www.crunchbase.com/organization/climentum-capital,Venture Capital,18,,"Copenhagen, Hovedstaden, Denmark","European Union (EU), Nordic Countries, Scandinavia","Climentum Capital invest in European based climate tech companies enabling sustainable, low-carbon and circular industries",10,15,,Active,2021-07-01,day,https://www.climentum.com,https://www.linkedin.com/company/climentum/,"Financial Services, Lending and Investments",Venture Capital,5,"Doerte Hirschberg, Malin Carlstrom, Morten Halborg, Stefan Mård, Yoann Berno",1-10,"Early Stage Venture, Seed",,,Private
Earth Venture Capital,https://www.crunchbase.com/organization/earth-venture-capital,Venture Capital,18,,"Ho Chi Minh City, NA - Vietnam, Vietnam","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",A global climate deep tech venture capital firm,4,18,,Active,2021-10-01,day,https://www.earth.vc/,https://www.linkedin.com/company/earth-venture-capital/,"Energy, Financial Services, Hardware, Internet Services, Lending and Investments, Manufacturing, Science and Engineering, Software, Sustainability","Advanced Materials, CleanTech, Energy Efficiency, GreenTech, Impact Investing, Internet of Things, Robotics, Venture Capital",2,"Linh Nguyen, Tien Nguyen",11-50,"Early Stage Venture, Seed, Venture",,,Private
Ship2B Ventures,https://www.crunchbase.com/organization/ship2b-ventures,Venture Capital,18,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Ship2B Ventures is a venture capital firm that invests in impact startups.,10,18,,Active,2020-01-01,year,https://www.ship2bventures.com/,https://www.linkedin.com/company/ship2b-ventures/about/,,,,,1-10,Early Stage Venture,,,Private
Blockchain Founders Capital,https://www.crunchbase.com/organization/blockchain-founders-capital,Venture Capital,18,,"Neustadt An Der Weinstraße, Rheinland-Pfalz, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Blockchain Founders Capital is a venture capital firm investing in early-stage companies.,2,17,,Active,2022-01-01,year,https://www.bfc.vc,https://www.linkedin.com/company/blockchain-founders-capital/?viewAsMember=true,"Blockchain and Cryptocurrency, Commerce and Shopping, Information Technology, Other, Software","Blockchain, IT Infrastructure, Marketplace, SaaS",4,"Benjamin Horvath, Marcel Uhlmann, Sagar Barvaliya, Wolfgang Männel",1-10,"Early Stage Venture, Seed",,,Private
Zubi Capital,https://www.crunchbase.com/organization/zubi-capital,"Venture Capital, Venture Debt",18,1,"Valencia, Comunidad Valenciana, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Zubi Capital is a dedicated and independent Asset Management and Wealth Management firm.,8,15,,Active,2020-01-01,year,https://zubicapital.com/en/home-english/,https://www.linkedin.com/company/zubi-capital/,"Community and Lifestyle, Financial Services, Health Care, Lending and Investments, Sustainability","Diabetes, Financial Services, Health Care, Impact Investing, Social, Sustainability",1,José Nistal,11-50,,,,Private
Bitburger Ventures,https://www.crunchbase.com/organization/bitburger-ventures,Venture Capital,18,3,"Bitburg, Rheinland-Pfalz, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Bitburger Ventures is the holding company of Bitburger Holding in the area of ​​venture capital.,3,14,,Active,2018-01-01,year,https://www.bitburger-ventures.de/en/,https://www.linkedin.com/company/bitburger-ventures/,"Financial Services, Lending and Investments","Asset Management, Financial Services, Venture Capital",1,Friedrich Droste,1-10,Venture,,,Private
Daft Capital,https://www.crunchbase.com/organization/daft-capital,Venture Capital,18,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Daft Capital is an early stage investor founded by Jon Dishotsky.,,17,,Active,2025-01-01,year,https://daftcapital.com/,https://www.linkedin.com/company/daftcapital/about/,,,1,Jon Dishotsky,1-10,Early Stage Venture,,,Private
Business Angels Club Berlin-Brandenburg e.V.,https://www.crunchbase.com/organization/business-angels-club-berlin,"Angel Group, Micro VC, Syndicate, Venture Capital",18,2,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The Business Angels Club Berlin is the official business angel association of the states Berlin and Brandenburg.,1,17,,Active,1998-01-01,year,http://www.bacb.de,https://www.linkedin.com/company/bacb-de/,"Community and Lifestyle, Financial Services, Lending and Investments, Media and Entertainment, Other","Advice, Association, Communities, Finance, Impact Investing, Service Industry",,,1-10,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",,,Private
Puzzle Ventures,https://www.crunchbase.com/organization/puzzle-ventures,"Accelerator, Incubator, Venture Capital",18,,"Beijing, Beijing, China",Asia-Pacific (APAC),Puzzle Ventures is dedicated to helping early-stage blockchain startups grow and reshaping the future of crypto.,,18,,Active,2019-04-21,day,https://puzzle.ventures/,https://www.linkedin.com/company/puzzle-ventures-1,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other","Blockchain, Venture Capital",,,1-10,"Early Stage Venture, Seed, Venture",,,Private
GINCO Investments,https://www.crunchbase.com/organization/ginco-investments,Venture Capital,18,2,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",GINCO Investments is the consolidated family investment office of GINCO Group. ,1,16,,Active,1975-01-01,year,https://www.ginco.investments/,https://www.linkedin.com/company/ginco-investments/,,,1,Gheyath Mohammad Gheyath,1001-5000,"Convertible Note, Debt, Early Stage Venture, Seed, Venture",,,Private
Mediahuis,https://www.crunchbase.com/organization/mediahuis-ventures,"Corporate Venture Capital, Venture Capital",18,1,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Mediahuis is the corporate venture capital arm of independent publishing and media company Mediahuis.,10,14,,Active,2020-01-01,year,https://www.mediahuis.com,https://www.linkedin.com/company/mediahuisventures,"Administrative Services, Education, Software","EdTech, Education, Human Resources, Virtual Workforce",,,11-50,"Early Stage Venture, Late Stage Venture, Seed",,Made Acquisitions,Private
A'Z Angels,https://www.crunchbase.com/organization/aziz-ventures,Venture Capital,18,2,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",We are an emerging venture capital firm. We invest in early stage startups with experienced founders building disruptive innovative tech.,1,17,1,Active,2018-07-05,day,https://azangels.vc,https://www.linkedin.com/company/azizventures,"Financial Services, Lending and Investments","Angel Investment, Venture Capital",2,"Amr Abdelaziz, Mahmoud Ali",1-10,"Early Stage Venture, Seed",,,Private
Sofia Angels Ventures,https://www.crunchbase.com/organization/sofia-angels-ventures,"Angel Group, Venture Capital",18,,"Sofia, Grad Sofiya, Bulgaria","European Union (EU), Europe, Middle East, and Africa (EMEA)",Sofia Angels Ventures is an investment firm that focuses on technology startups at the pre-seed and seed stages.,7,15,,Active,2020-01-01,year,https://sofiaventures.eu/,https://www.linkedin.com/company/sofia-angels-ventures/,Financial Services,"Finance, Financial Services, FinTech",,,1-10,"Early Stage Venture, Seed",,,Private
GrowthUP,https://www.crunchbase.com/organization/growthup,"Accelerator, Private Equity Firm, Venture Capital",18,2,"Kyiv, Kyyiv, Ukraine","Europe, Middle East, and Africa (EMEA)",GrowthUP is a venture capital firm that operates business accelerator programs for startups and technology organizations.,8,18,,Active,2010-05-01,month,http://growthup.com,https://www.linkedin.com/company/growthup-incubator/about/,"Financial Services, Information Technology, Lending and Investments","Finance, Financial Services, Information Technology, Venture Capital",2,"Denis Dovgopoliy, Nikolay Savin",51-100,Seed,,,Private
Mulana Capital,https://www.crunchbase.com/organization/mulana-capital,Venture Capital,18,,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),"Mulana Capital is an Early Stage Web3 Venture Investing (Cypto infrastructure, Metaverse, Defi)",,16,,Active,2022-01-01,year,https://www.mulana.vc,https://www.linkedin.com/company/mulana-capital,"Blockchain and Cryptocurrency, Internet Services, Media and Entertainment, Software","Metaverse, Web3",1,Gillian Wu,1-10,Seed,,,Private
Catagonia Capital,https://www.crunchbase.com/organization/catagonia-capital,Venture Capital,18,3,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Catagonia is a company building and consulting firm based in Berlin.,4,17,,Active,2009-01-01,year,https://www.catagonia.com/,https://www.linkedin.com/company/catagonia-capital-&-consulting/,"Financial Services, Lending and Investments, Professional Services, Software","Consulting, Software, Venture Capital",1,Ralph Kunz,1-10,"Early Stage Venture, Seed",,,Private
Motu Ventures,https://www.crunchbase.com/organization/motu-ventures,Venture Capital,18,3,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Motu Ventures is a Berlin-based seed fund focused on building lean startups and boosting talented entrepreneurs.,1,13,,Active,2013-01-01,year,http://motuventures.com/,https://www.linkedin.com/company/motuventures/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,1-10,Seed,,,Private
Michael Grabner Media GmbH,https://www.crunchbase.com/organization/michael-grabner-media-gmbh,Venture Capital,18,5,"Vienna, Wien, Austria","European Union (EU), Europe, Middle East, and Africa (EMEA)","Michael Grabner Media is a venture capital firm that offers seed, startup, early stage, and growth capital investments.",6,16,,Active,2007-01-01,year,http://www.michaelgrabner.com/,,Financial Services,Finance,,,1-10,Early Stage Venture,,,Private
Next Humanity Ventures,https://www.crunchbase.com/organization/next-humanity-ventures,Venture Capital,18,2,"Luxembourg, Luxembourg, Luxembourg","European Union (EU), Europe, Middle East, and Africa (EMEA)",Next Humanity Venture invests in the future of planet & humanity across Europe with focus on Deeptech,,17,,Active,2020-01-01,month,https://nexthumanity.ventures,https://www.linkedin.com/company/nexthumanity/,,,1,Sal Matteis,1-10,Seed,,,Private
5square,https://www.crunchbase.com/organization/5-square,Venture Capital,18,3,"Laren, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",5square is an independent investment company,5,17,,Active,2004-01-01,year,http://www.5square.nl/,https://www.linkedin.com/company/5square/,"Financial Services, Lending and Investments","Asset Management, Finance, Venture Capital",2,"Mark Gitsels, Remco van den Heuvel",1-10,Venture,,,Private
Pente Capital,https://www.crunchbase.com/organization/pente-capital,Venture Capital,18,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",A venture studio providing capital for the beautiful things in life.,,18,,Active,2022-09-03,day,https://pentecapital.com/,https://www.linkedin.com/company/pentecapital/,"Financial Services, Lending and Investments",Venture Capital,1,Michael Bartenstein,1-10,"Early Stage Venture, Seed, Venture",,,Private
K - Invest,https://www.crunchbase.com/organization/k-new-media-gmbh-co-kg,Corporate Venture Capital,18,7,"Pforzheim, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",K-Invest is the corporate venture capital arm of Klingel Gruppe.,4,13,,Active,2009-01-01,year,http://www.k-invest.de,https://www.linkedin.com/company/klingel-ventures/,"Clothing and Apparel, Commerce and Shopping, Design, Financial Services, Lending and Investments","E-Commerce, Fashion, Financial Services, Venture Capital",,,1-10,"Early Stage Venture, Seed",,,Private
Saarländische Wagnisfinanzierungsgesellschaft,https://www.crunchbase.com/organization/saarlndische-wagnisfinanzierungsgesellschaft,Venture Capital,18,1,"Saarbrücken, Saarland, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",SaarlÃ¤ndische Wagnisfinanzierungsgesellschaft is a venture financing company providing capital to young technology companies.,11,16,,Active,1997-01-01,year,http://www.swgmbh.de,,"Financial Services, Lending and Investments","Financial Services, Venture Capital",,,1-10,Early Stage Venture,,,Private
VitaminaK,https://www.crunchbase.com/organization/vitaminak,Venture Capital,18,5,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Entrepreneurs hold the keys, we just help them open the door",2,15,,Active,2011-01-01,year,http://www.vitaminak.com,https://www.linkedin.com/company/vitamina-k/,"Commerce and Shopping, Financial Services, Lending and Investments","Angel Investment, E-Commerce, Venture Capital",3,"Gonzalo Castellano, Iñaki Arrola, Rafael Garrido",1-10,"Early Stage Venture, Seed",,,Private
Satgana,https://www.crunchbase.com/organization/satgana,"Micro VC, Venture Capital",17,,"Luxembourg, Luxembourg, Luxembourg","European Union (EU), Europe, Middle East, and Africa (EMEA)",Satgana is a Climate Tech VC firm investing in the next generation of planet-positive startups building the Future of Earth.,4,17,,Active,2020-09-15,day,http://satgana.com,https://www.linkedin.com/company/satgana,"Community and Lifestyle, Financial Services, Lending and Investments, Other, Social Impact, Sustainability","Incubators, Social Entrepreneurship, Social Impact, Sustainability, Venture Capital",2,"Anil Maguru, Romain Diaz",1-10,"Early Stage Venture, Seed",,,Private
Anamcara Capital,https://www.crunchbase.com/organization/anamcara-capital,Venture Capital,17,2,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",A pre-/seed fund investing in B2B companies across Europe,,12,,Active,2021-01-01,year,http://www.anamcaracapital.com,https://www.linkedin.com/company/anamcaracapital/,"Financial Services, Lending and Investments",Venture Capital,1,Annelie Ajami,1-10,Seed,,,Private
