Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Lazio Innova,https://www.crunchbase.com/organization/lazio-innova,Venture Capital,30,1,"Rome, Lazio, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",Lazio Innova is a venture capital firm with its headquarters in Rome in Italy.,24,,15,Active,2015-01-01,year,http://www.lazioinnova.it/,https://www.linkedin.com/company/sviluppo-lazio-spa/,"Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",1,Andrea Ciampalini,101-250,"Early Stage Venture, Seed, Venture",,,Private,"11,401"
Oktogon Ventures,https://www.crunchbase.com/organization/oktogon-ventures,Venture Capital,30,,"Budapest, Budapest, Hungary","European Union (EU), Europe, Middle East, and Africa (EMEA)",High Growth Tech Startups from CEE. Help CEE startups realize their fullest potential.,22,,4,Active,2019-04-03,day,https://www.oktogon.vc/,https://www.linkedin.com/company/oktogon-ventures,"B2B, Software, Venture Capital","Financial Services, Lending and Investments, Other, Software",2,"Gyula Feher, Veronika Pistyur",1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed",,,Private,"11,975"
Roca X,https://www.crunchbase.com/organization/roca-x,Venture Capital,30,2,"Bucharest, Bucuresti, Romania","European Union (EU), Europe, Middle East, and Africa (EMEA)",ROCA X is an investment tool for disruptive businesses at the beginning of the road.,22,,10,Active,2018-01-01,year,https://rocax.ro/en/homepage/,https://www.linkedin.com/company/rocax/,,,1,Andrei Cionca,1-10,"Early Stage Venture, Seed, Venture",,,Private,"13,703"
Automotive Ventures,https://www.crunchbase.com/organization/automotive-ventures-llc,"Micro VC, Venture Capital",30,,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",A Seed-stage venture capital firm investing in automotive and mobility startups,25,,6,Active,2014-03-25,day,https://www.automotiveventures.com,https://www.linkedin.com/company/9288634,"Automotive, B2B, Information Technology","Information Technology, Other, Transportation",2,"Chris Tranchina, Steve Greenfield",1-10,"Early Stage Venture, Seed, Venture",,,Private,"15,309"
Kronos Research,https://www.crunchbase.com/organization/saas,Venture Capital,30,,"Taipei, T'ai-pei, Taiwan",Asia-Pacific (APAC),Kronos delivers superior trading performance and liquidity,29,,1,Active,2018-01-01,year,https://kronosresearch.com,https://www.linkedin.com/company/kronosresearch,"Blockchain, Human Resources, Information Technology, Software","Administrative Services, Blockchain and Cryptocurrency, Information Technology, Other, Software",2,"Jack Tan, Mark Pimentel",11-50,,For Profit,,Private,"15,415"
Imagination Capital,https://www.crunchbase.com/organization/imagination-capital,Venture Capital,30,8,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Imagination Capital is an early stage investor targeting companies that are poised to capture an industry shift.,29,,,Active,2017-01-01,year,https://www.imaginationvc.com/,https://www.linkedin.com/company/imagination-capital/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Rachel Lam, Richard Parsons",11-50,Seed,,,Private,"17,495"
Foreword Ventures,https://www.crunchbase.com/organization/foreword-vc,Venture Capital,30,2,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Foreword Ventures is an early-stage micro fund backing startups throughout their initial chapters.,29,,,Active,2021-01-01,year,https://foreword.vc/,https://www.linkedin.com/company/forewordvc/,,,1,Declan Kelly,1-10,Early Stage Venture,,,Private,"18,340"
Super Capital VC,https://www.crunchbase.com/organization/super-capital-vc,Venture Capital,30,1,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Super Capital VC company provides finance and support to high potential startups.,28,,2,Active,2020-01-01,year,https://www.supercapital.vc,https://www.linkedin.com/company/super-capital-vc,Financial Services,Financial Services,1,Thibaut Gimenez,1-10,"Private Equity, Seed, Venture",For Profit,,Private,"20,498"
Primal Capital,https://www.crunchbase.com/organization/primal-capital-48b8,Venture Capital,30,,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",A global Web3 fund manager backing culture shifting ideas and innovations.,29,,2,Active,2021-02-01,month,https://www.primalcapital.io,https://www.linkedin.com/company/primal-capital-management/,"Asset Management, Blockchain, Cryptocurrency","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",3,"Bartholomew Meyer, David Wills, Trent Barnes",1-10,"Early Stage Venture, Private Equity, Seed",,,Private,"23,717"
Vala Capital,https://www.crunchbase.com/organization/vala-capital,Venture Capital,30,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Vala Capital  is an entrepreneur-led investment advisory business that backs start-ups and early-stage companies.,29,,3,Active,2016-01-01,year,https://www.valacap.com/,https://www.linkedin.com/company/vala-capital/,"AgTech, CleanTech, Financial Services, FinTech, Food and Beverage, Marine Technology, Software, Sustainability","Agriculture and Farming, Financial Services, Food and Beverage, Science and Engineering, Software, Sustainability",3,"James Faulkner, Jane Holland, Jasper Smith",11-50,"Early Stage Venture, Seed",,,Private,"23,808"
Debiopharm Innovation Fund,https://www.crunchbase.com/organization/debiopharm-innovation-fund,Venture Capital,30,8,"Lausanne, Vaud, Switzerland","Europe, Middle East, and Africa (EMEA)",Debiopharm Innovation Fund offers a strategic investments in for companies and businesses.,26,3,16,Active,2012-01-01,year,https://www.debiopharm.com/digital-health/,https://www.linkedin.com/company/debiopharminternational,Venture Capital,"Financial Services, Lending and Investments",,,1-10,"Early Stage Venture, Late Stage Venture, Venture",,,Private,"24,195"
SnackFutures,https://www.crunchbase.com/organization/snackfutures,Corporate Venture Capital,30,1,"East Hanover, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",SnackFutures designed to both invent new snack brands in-house and invest in other food startups.,30,,28,Active,2018-01-01,year,https://www.snackfutures.com/,,,,,,11-50,"Early Stage Venture, Grant, Seed",,,Private,"24,547"
Velocity Partners,https://www.crunchbase.com/organization/velocity-partners,Venture Capital,30,3,"Athens, Attiki, Greece","European Union (EU), Europe, Middle East, and Africa (EMEA)",Velocity is an early stage VC Fund that focuses on tech companies in verticals where the Greek economy can provide global validation,20,,15,Active,2018-05-01,month,http://www.velocitypartners.vc/,https://www.linkedin.com/company/velocity-partners-vc/,"Aerospace, Automotive, Consumer, Industrial, Information Technology, Manufacturing, Marketplace, Medical, Software","Commerce and Shopping, Health Care, Information Technology, Manufacturing, Other, Science and Engineering, Software, Transportation",3,"Achilleas Petropoulos, Dimitris Kalavros-Gousiou, Konstantinos Mavros",1-10,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private,"25,418"
Earthshot Ventures,https://www.crunchbase.com/organization/earthshot-ventures,Venture Capital,30,1,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",We are a venture fund investing in entrepreneurs solving the toughest climate challenges.,23,,2,Active,2021-01-01,year,https://www.earthshot.vc,https://www.linkedin.com/company/earthshot-ventures/,"Software, Venture Capital","Financial Services, Lending and Investments, Software",2,"Dawn Lippert, Mike Jackson",1-10,"Early Stage Venture, Seed, Venture",,,Private,"26,669"
Virescent Ventures,https://www.crunchbase.com/organization/virescent-ventures,Venture Capital,30,2,"Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",Virescent Ventures is a venture capital that invests in cleantech innovation companies.,27,,11,Active,2022-01-01,year,https://www.virescent.vc/,https://www.linkedin.com/company/virescent-ventures/,Venture Capital,"Financial Services, Lending and Investments",,,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"27,783"
Builder Capital,https://www.crunchbase.com/organization/builder-capital,Venture Capital,30,,"Toronto, Ontario, Canada",Great Lakes,Builder Capital is an Investment firm.,30,,,Active,,,https://www.buildercapital.io,https://www.linkedin.com/company/buildervc,Financial Services,Financial Services,,,1-10,"Seed, Venture",,,Private,"28,473"
Holtzbrinck Digital,https://www.crunchbase.com/organization/holtzbrinck-digital,Venture Capital,30,6,"München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Holtzbrinck Digital investment focus is on digital businesses in the fields of Science, Education and Content.",22,,6,Active,2010-01-01,year,http://www.holtzbrinck.digital,https://www.linkedin.com/company/holtzbrinck-digital-gmbh/about/,"Content, Education","Education, Media and Entertainment",,,11-50,"Early Stage Venture, Private Equity, Seed, Venture",,Made Acquisitions,Private,"29,512"
Sussex Place Ventures,https://www.crunchbase.com/organization/sussex-place-ventures,Venture Capital,30,9,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Sussex Place Ventures is an early-stage venture capital investor, backing entrepreneurs building enterprise software.",17,,16,Active,1998-01-01,year,http://www.spventures.com,http://www.linkedin.com/company/sussex-place-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,John Bates,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"31,025"
GWC Innovator Fund,https://www.crunchbase.com/organization/gwc-innovator-fund,Venture Capital,30,7,"Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",The GWC Innovator Fund is a venture fund focused exclusively on investing in global innovators that are improving the world.,29,1,2,Active,2016-01-01,year,,https://www.linkedin.com/company/gwc-innovator-fund,,,2,"Barrett Parkman, Wen Chu",1-10,"Early Stage Venture, Seed",,,Private,"31,748"
Oracles Investment Group,https://www.crunchbase.com/organization/oracles-investment-group,Venture Capital,30,,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Oracles Investment Group provides one of a kind platform for Crypto Project teams to raise capital.,30,,2,Active,2017-01-01,year,https://oiginvest.com/,https://www.linkedin.com/company/oracles-investment-group,,,,,11-50,"Early Stage Venture, Secondary Market, Seed",,,Private,"33,823"
Breizh Up,https://www.crunchbase.com/organization/breizh-up,"Accelerator, Venture Capital",30,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",Breizh Up is the Brittany Region's co-investment fund dedicated to new economic models.,23,,2,Active,,,https://breizhup.bretagne.bzh,https://www.linkedin.com/company/breizh-up,,,,,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"35,104"
Digital Strategies,https://www.crunchbase.com/organization/digital-strategies-d0cf,"Private Equity Firm, Venture Capital",30,,"Central and Western, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Digital Strategies is a cryptocurrency focused investment firm.,28,,3,Active,2014-01-01,year,https://digistrats.com/,https://www.linkedin.com/company/digital-strategies-ltd/mycompany/,"Blockchain, Cryptocurrency, Venture Capital","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,,11-50,"Early Stage Venture, Initial Coin Offering, Private Equity, Seed, Venture",,,Private,"128,653"
NHN Investment,https://www.crunchbase.com/organization/nhn-investment,Venture Capital,30,6,"Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),"NHN Investment is a specialized investment organization providing investments, loans, and management as well as technological guidance to",26,,6,Active,2010-04-01,day,http://www.nhninv.com/invkr/index.nhn,,"Angel Investment, Financial Services, FinTech, Messaging, Wholesale","Commerce and Shopping, Financial Services, Information Technology, Internet Services, Lending and Investments, Messaging and Telecommunications",,,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"148,081"
Kickstarter,https://www.crunchbase.com/organization/kickstarter,Venture Capital,29,,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US","Kickstarter is a crowdfunding platform for creative projects such as movies, music, art, theater, games, comics, design, and photography.",25,,12,Active,2007-01-01,month,https://www.kickstarter.com,https://www.linkedin.com/company/kickstarter,"Card and Board Games, Crowdfunding, Finance, Funding Platform","Consumer Goods, Financial Services, Gaming, Lending and Investments",3,"Charles Adler, Perry Chen, Yancey Strickler",51-100,Crowdfunding,For Profit,Made Acquisitions,Private,421
Aldea Ventures,https://www.crunchbase.com/organization/aldea-ventures,"Fund Of Funds, Venture Capital",29,2,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Partnering with Europe's most ambitious MicroVCs to drive innovation through disruptive technologies,22,,1,Active,2020-06-17,day,http://aldea.ventures,https://www.linkedin.com/company/aldea-ventures1,"Artificial Intelligence (AI), Cloud Infrastructure, Developer Tools, Financial Services, IT Infrastructure, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Lending and Investments, Science and Engineering, Software",3,"Alfonso Bassols, Carlos Trenchs Sainz de la Maza, Josep Duran i Priu",1-10,"Early Stage Venture, Seed, Venture",,,Private,903
AIN Ventures,https://www.crunchbase.com/organization/academy-investor-network,Venture Capital,29,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Early Stage Venture Fund,25,,2,Active,2020-01-31,day,https://www.ainventures.com/,https://www.linkedin.com/company/academy-investor-network/?viewAsMember=true,,,1,Sherman Williams II,1-10,"Early Stage Venture, Seed",,,Private,"3,417"
Sharp Alpha Advisors,https://www.crunchbase.com/organization/sharp-alpha-advisors,Venture Capital,29,2,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Venture capital firm specializing in sports, gaming, and entertainment",26,,8,Active,2019-01-01,year,https://www.sharpalphaadvisors.com/,https://www.linkedin.com/company/sharp-alpha-advisors/,,,1,Lloyd Danzig,1-10,"Early Stage Venture, Seed",,,Private,"4,637"
Isomer Capital,https://www.crunchbase.com/organization/isomer-capital,Venture Capital,29,6,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Isomer's entrepreneurial approach accesses high-potential opportunities,26,,4,Active,2015-01-01,year,http://www.isomercapital.com/,https://www.linkedin.com/company/isomer-capital,Venture Capital,"Financial Services, Lending and Investments",1,Joe Schorge,11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"5,779"
Navigate Ventures,https://www.crunchbase.com/organization/navigate-ventures-llc,"Private Equity Firm, Venture Capital",29,1,"Beverly Hills, California, United States","Greater Los Angeles Area, West Coast, Western US","Navigate Ventures offers investment thesis and strategy by offering ""A Extension Rounds"" for B2B enterprise SaaS companies.",24,,,Active,2020-04-01,month,https://www.NavigateVC.com,https://www.linkedin.com/company/navigate-ventures-llc/,"Artificial Intelligence (AI), FinTech, Information Technology, SaaS, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software",2,"Fred Thiel, Ivan Nikkhoo",1-10,"Early Stage Venture, Venture",,,Private,"5,831"
CapitalT,https://www.crunchbase.com/organization/capitalt,Venture Capital,29,1,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","CapitalT is a venture capital fund investing in tech companies in climate tech, future of work, education and web3/the new social.",24,,14,Active,2020-02-01,day,https://www.capitaltvc.com/,https://www.linkedin.com/company/capitalt/,"Education, GreenTech, Human Resources, Social, Software, Sustainability, Web3","Administrative Services, Blockchain and Cryptocurrency, Community and Lifestyle, Education, Internet Services, Software, Sustainability",2,"Eva de Mol, Janneke Niessen",11-50,Seed,,,Private,"6,133"
SIS Ventures,https://www.crunchbase.com/organization/sis-ventures,Venture Capital,29,,"Edinburgh, Edinburgh, City of, United Kingdom","Europe, Middle East, and Africa (EMEA)",SIS Ventures is part of the Social Investment Scotland group.,15,,1,Active,2018-01-01,year,http://www.sisventures.com/,https://www.linkedin.com/company/sis-ventures/,Venture Capital,"Financial Services, Lending and Investments",,,11-50,"Early Stage Venture, Seed, Venture",,,Private,"12,825"
Tiburon,https://www.crunchbase.com/organization/tiburon-2,"Family Investment Office, Micro VC, Venture Capital",29,3,"Munich, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Tiburon is a private European-American seed investment boutique,28,,15,Active,2001-01-01,year,http://tiburon.de/,https://www.linkedin.com/company/tiburon-unternehmensaufbau-gmbh,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",3,"Bill Fisher, Daniel Wild, Tim Schwenke",11-50,"Early Stage Venture, Seed",,,Private,"17,941"
Callapina Capital,https://www.crunchbase.com/organization/callapina-capital,Venture Capital,29,3,"Mumbai, Maharashtra, India",Asia-Pacific (APAC),Callapina Capital invest capital in startups and leverage deep investor network.,29,,7,Active,2018-01-01,year,https://www.callapina.com/,https://www.linkedin.com/company/callapina-capital,,,3,"Anas Rahman Junaid, Vinod Jose, Vinod Jose",1-10,"Early Stage Venture, Seed",,,Private,"22,515"
Companion Fund,https://www.crunchbase.com/organization/companion-fund,Venture Capital,29,2,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Companion Fund is an investment fund investing in the future of pet care.,22,,5,Active,2016-01-01,year,https://companionfund.com,https://www.linkedin.com/company/digitalis-ventures/,"Business Development, Finance, Financial Services","Financial Services, Professional Services",,,1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"23,378"
Data Tech Fund,https://www.crunchbase.com/organization/data-tech-fund,Venture Capital,29,2,"Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",An early-stage fund that invests in visionary founders who leverage proprietary data or AI,26,,4,Active,2021-01-01,year,https://www.datatech.fund/,https://www.linkedin.com/company/datatechfund/,,,4,"Andreas Quandt, Ravi Grover, Siva Kolappa, Stephan Goupille",1-10,"Early Stage Venture, Seed",,,Private,"23,813"
Telefónica Innovation Ventures,https://www.crunchbase.com/organization/telefonica-innovation-ventures,Corporate Venture Capital,29,8,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Telefónica Innovation Ventures invests and builds strategic partners aligned with Telefónica's strategy.,22,3,5,Active,2007-01-01,year,https://www.telefonica.com/es/sostenibilidad-innovacion/innovacion/telefonica-ventures/,https://www.linkedin.com/company/telef%C3%B3nica/,"Artificial Intelligence (AI), Cloud Data Services, Cyber Security, Financial Services, Internet of Things, Network Security, Venture Capital, Video","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Lending and Investments, Media and Entertainment, Privacy and Security, Science and Engineering, Software, Video",,,11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"24,767"
AGO Partners,https://www.crunchbase.com/organization/aspiration-growth,Venture Capital,29,5,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",AGO invests in entrepreneurs building companies that create a better world,21,1,2,Active,2013-01-01,year,http://agopartners.com,,Venture Capital,"Financial Services, Lending and Investments",3,"Alex Robert, Joseph N. Sanberg, Matt Salzberg",11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"25,275"
Larsen Ventures,https://www.crunchbase.com/organization/larsen-ventures,"Family Investment Office, Venture Capital",29,1,"Perth, Western Australia, Australia","Asia-Pacific (APAC), Australasia",We are a lean venture firm focused on strategic outreach into early-stage technology companies with driven & passionate Founders,18,,11,Active,2012-01-01,day,http://www.larsenventures.com.au,https://www.linkedin.com/company/12741892/,"EdTech, Education, FinTech, Health Care, Property Management","Education, Financial Services, Health Care, Real Estate, Software",1,Andrew Larsen,1-10,"Convertible Note, Early Stage Venture, Private Equity, Seed, Venture",,,Private,"25,381"
Brookstreet Equity Partners,https://www.crunchbase.com/organization/brookstreet-equity-partners,"Private Equity Firm, Venture Capital",29,1,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Brookstreet Equity Partners is a private equity/venture capital investment group supporting companies experiencing transformational growth.,9,,20,Active,2016-01-01,year,https://brookstreetequity.com,https://www.linkedin.com/company/brookstreet/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"George V. Bolos, Omiros D. Sarikas",11-50,Early Stage Venture,,,Private,"26,701"
dlab,https://www.crunchbase.com/organization/dlabvc,Venture Capital,29,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Early-stage venture capital and resources for startups exploring new frontiers in web3, decentralization, and blockchain technology.",21,,1,Active,2018-09-01,day,https://dlab.vc,https://www.linkedin.com/company/dlab-vc/,"Blockchain, Cryptocurrency, Financial Services, Software","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,"Nick Plante, Shawn Broderick",1-10,"Early Stage Venture, Seed",,,Private,"27,176"
Fatima Gobi Ventures,https://www.crunchbase.com/organization/fatima-gobi-ventures,Venture Capital,29,,"Lahore, Punjab, Pakistan","Asia-Pacific (APAC), Middle East and North Africa (MENA)",Fatima Gobi Ventures is a Venture Capital (VC) fund focused on Pakistani startups.,21,,13,Active,2019-01-01,year,https://fatimagobi.vc/,https://www.linkedin.com/company/fatima-gobi-ventures,,,1,Ali Mukhtar,1-10,Early Stage Venture,,,Private,"30,208"
Keiretsu Forum Turkey,https://www.crunchbase.com/organization/keiretsu-forum-turkey,"Angel Group, Private Equity Firm, Venture Capital",29,,"Sariyer, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Keiretsu Forum is a private equity investment network of angel investors, venture capitalists, and corporate/institutional investors.",28,,12,Active,2012-09-01,month,http://keiretsuforum.com.tr/,https://www.linkedin.com/company/keiretsu-forum-istanbul/,"Angel Investment, Venture Capital","Financial Services, Lending and Investments",3,"Ali Ozgenc, Aydin Koc, Yasar Buyukcetin",11-50,Seed,,,Private,"30,058"
Sistema_VC,https://www.crunchbase.com/organization/sistema-venture-capital,Venture Capital,29,5,"Moscow, Moscow City, Russian Federation","Europe, Middle East, and Africa (EMEA)",Sistema_VC is a venture capital firm that offers investments and specialized guidance for growth-stage internet companies.,14,1,10,Active,2016-04-01,month,http://sistema.vc,https://www.linkedin.com/company/sistema-venture-capital/,"Financial Services, Information Technology, Internet, Software, Venture Capital","Financial Services, Information Technology, Internet Services, Lending and Investments, Software",,,1-10,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"30,992"
The Holt Xchange,https://www.crunchbase.com/organization/holt-accelerator,"Accelerator, Venture Capital",29,,"Montréal, Quebec, Canada",,"The Holt Xchange is a modern day brokers, accelerating deals for fintech startups between corporate clients and investors.",24,,11,Active,2018-01-01,year,https://holtxchange.com/,https://www.linkedin.com/company/holt-accelerator,"Artificial Intelligence (AI), Blockchain, FinTech, InsurTech, Payments, Personal Finance, Venture Capital","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Lending and Investments, Other, Payments, Science and Engineering, Software",2,"Brendan Dunn, Jan Christopher Arp",1-10,Seed,,,Private,"34,313"
