Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,Venture Capital,"1,461",314,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Bessemer Venture Partners is a venture capital firm that invests in enterprise, consumer, and healthcare early-to-late stage startups.",515,769,67,Active,1911-01-01,year,http://www.bvp.com,https://www.linkedin.com/company/bessemer-venture-partners,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, InsurTech, Venture Capital",1,Henry Phipps,101-250,"Early Stage Venture, Late Stage Venture",,Made Acquisitions,Private
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,Venture Capital,"1,455",217,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",General Catalyst collaborates with founders to support resilience and applied AI from seed to growth stages.,602,831,30,Active,2000-01-01,day,http://www.generalcatalyst.com,https://www.linkedin.com/company/general-catalyst,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,"David Fialkow, David Orfao, Joel Cutler",101-250,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",,Made Acquisitions,Private
Kleiner Perkins,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,Venture Capital,"1,448",348,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Kleiner Perkins is a venture capital firm that specializes in investing in early-stage, incubation, and growth companies.",413,734,111,Active,1972-03-01,day,https://www.kleinerperkins.com,https://www.linkedin.com/company/kleinerperkins,"Financial Services, Lending and Investments","Finance, Financial Services, Incubators, Venture Capital",4,"Brook Byers, Eugene Kleiner, Frank Caufield, Tom Perkins",11-50,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,Private
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,"Micro VC, Venture Capital","1,382",216,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,55,"1,312",2,Active,2010-01-01,day,http://rightsidecapital.com,https://www.linkedin.com/company/right-side-capital-management,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Dave Lambert, Kevin Dick",1-10,"Convertible Note, Early Stage Venture, Seed, Venture",,,Private
Newchip Accelerator,https://www.crunchbase.com/organization/newchip,"Accelerator, Incubator, Venture Capital","1,285",13,"Austin, Texas, United States",Southern US,Newchip is a global remote startup accelerator.,26,"1,281",,Active,2016-01-01,year,https://www.newchip.com,https://www.linkedin.com/company/newchip/,"Apps, Commerce and Shopping, Software","Apps, Retail, Software",4,"Andrew Ryan, Andrew Ryan, Nihar Patel, Travis Brodeen",51-100,"Early Stage Venture, Seed",,,Private
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,Venture Capital,"1,282",178,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Khosla Ventures provides venture assistance to entrepreneurs in AI, sustainability, enterprise, consumer, health and frontier technologies.",475,663,31,Active,2004-01-01,year,http://www.khoslaventures.com,https://www.linkedin.com/company/khosla-ventures,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Samir Kaul, Vinod Khosla",101-250,"Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private
Index Ventures,https://www.crunchbase.com/organization/index-ventures,Venture Capital,"1,210",260,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,483,653,52,Active,1996-01-01,year,http://www.indexventures.com,http://www.linkedin.com/company/index-ventures,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, Venture Capital",4,"David Rimer, Giuseppe Zocco, Neil Rimer, Terrence Rohan",101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Tiger Global Management,https://www.crunchbase.com/organization/tiger-global,"Hedge Fund, Private Equity Firm, Venture Capital","1,206",169,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Tiger Global Management is an investment firm that invests in global public and private companies.,698,787,84,Active,2001-03-01,month,https://www.tigerglobal.com,https://www.linkedin.com/company/tiger-global-management,"Financial Services, Lending and Investments","Finance, Financial Services, Hedge Funds, Venture Capital",1,Chase Coleman,101-250,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed",,,Private
Google Ventures,https://www.crunchbase.com/organization/google-ventures,"Corporate Venture Capital, Venture Capital","1,184",266,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Google Ventures is an investment arm of Alphabet that provides seed, venture, and growth-stage funding to technology companies.",342,703,66,Active,2009-01-01,year,http://www.gv.com,https://www.linkedin.com/company/googleventures,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Bill Maris,251-500,"Convertible Note, Crowdfunding, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",,,Private
European Innovation Council,https://www.crunchbase.com/organization/european-innovation-council,"Accelerator, Venture Capital","1,154",30,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","The European Innovation Council aims to support top-class innovators, entrepreneurs, small companies and researchers with bright ideas.",841,659,9,Active,1957-03-25,day,https://eic.ec.europa.eu,https://www.linkedin.com/company/eismea,"Administrative Services, Community and Lifestyle, Government and Military, Social Impact","Government, Office Administration, Social Entrepreneurship",,,501-1000,"Early Stage Venture, Grant",For Profit,,Private
Liquid 2 Ventures,https://www.crunchbase.com/organization/liquid2-ventures,Venture Capital,"1,143",103,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Liquid 2 Ventures is an investing firm that focuses on investing in Seed, Early Stage companies.",14,894,3,Active,2015-01-01,year,http://liquid2.vc,https://www.linkedin.com/company/liquid-2-ventures,"Financial Services, Lending and Investments","Financial Exchanges, Impact Investing, Venture Capital",4,"Joe Montana, Michael Ma, Mike Miller, Nathaniel Montana",1-10,"Early Stage Venture, Late Stage Venture, Seed",,,Private
Wayra,https://www.crunchbase.com/organization/wayra,Corporate Venture Capital,"1,136",52,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Wayra connects Telefonica and technological disruptors around the world.,81,684,1,Active,2011-01-01,year,https://www.wayra.com,https://www.linkedin.com/company/wayra,"Financial Services, Lending and Investments, Professional Services","Business Development, Incubators, Innovation Management",1,Marta Antunez,101-250,"Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,,Private
HSG,https://www.crunchbase.com/organization/hsg-cap,"Private Equity Firm, Venture Capital","1,125",110,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),"HSG is a leading venture capital and private equity firm investing globally in the technology, healthcare, and consumer sectors.",506,790,86,Active,2005-09-01,month,https://www.hsgcap.com/,https://www.linkedin.com/company/hong-shan/,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",1,Neil Shen,251-500,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",For Profit,Made Acquisitions,Private
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,"Entrepreneurship Program, Venture Capital","1,124",68,"Swindon, Wiltshire, United Kingdom","Europe, Middle East, and Africa (EMEA)","Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.",826,902,29,Active,1959-07-01,day,http://www.innovateuk.gov.uk,https://www.linkedin.com/company/innovateuk,"Financial Services, Government and Military","Finance, Financial Services, Government",1,Richard J Hebdon,101-250,Grant,For Profit,,Private
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Private Equity Firm, Venture Capital",996,104,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,255,698,11,Active,2013-01-01,year,https://www.globalfounderscapital.com,https://www.linkedin.com/company/global-founders-capital,"Financial Services, Lending and Investments","Finance, Financial Services, Impact Investing, Venture Capital",1,Oliver Samwer,11-50,"Early Stage Venture, Private Equity, Seed",,,Private
High-Tech Gruenderfonds,https://www.crunchbase.com/organization/high-tech-gründerfonds,Venture Capital,942,125,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",High-Tech Gruenderfonds is a financial services company that specializes in investments and financing for various sectors.,256,658,4,Active,2005-09-01,day,https://www.htgf.de,http://www.linkedin.com/company/high-tech-grunderfonds,"Financial Services, Hardware, Health Care, Lending and Investments, Software","Hardware, Health Care, Software, Venture Capital",1,Alexander von Frankenberg,101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
FasterCapital,https://www.crunchbase.com/organization/fastercapital,"Accelerator, Micro VC, Venture Capital",935,9,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",FasterCapital is an online startup incubator and accelerator that helps entrepreneurs build and grow their businesses.,700,875,2,Active,2010-01-01,year,http://www.fastercapital.com,https://www.linkedin.com/company/fastercapital,"Design, Financial Services, Internet Services, Lending and Investments, Other, Professional Services, Sales and Marketing, Software","Business Development, Digital Marketing, Incubators, SEO, Small and Medium Businesses, Software, Venture Capital, Web Design, Web Development",1,Hesham Zreik,251-500,"Convertible Note, Early Stage Venture, Grant, Late Stage Venture, Non Equity Assistance, Private Equity, Seed, Venture",,,Private
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,Venture Capital,873,226,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Battery Ventures is an investment firm that focuses on technology.,338,452,34,Active,1983-01-01,year,http://www.battery.com,http://www.linkedin.com/company/battery-ventures,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Rick Frisbie,101-250,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",,Made Acquisitions,Private
Gaingels,https://www.crunchbase.com/organization/gaing,"Syndicate, Venture Capital",872,67,"Burlington, Vermont, United States","New England, Northeastern US",Gaingels provides funding to startup companies and supports diversity and inclusion within the entrepreneurial ecosystem.,10,758,8,Active,2014-01-01,year,https://gaingels.com,https://www.linkedin.com/company/gaingels,"Data and Analytics, Financial Services, Lending and Investments, Professional Services","Business Development, Data Governance, Finance, Financial Services, Venture Capital",2,"David Beatty, Paul Grossinger",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Canaan Partners,https://www.crunchbase.com/organization/canaan-partners,Venture Capital,813,172,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Canaan is an early-stage venture capital firm that invests in visionaries with transformative ideas.,271,420,40,Active,1987-01-01,year,http://www.canaan.com,http://www.linkedin.com/company/canaan-partners,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",2,"Eric Young, Harry T. Rein",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Salesforce Ventures,https://www.crunchbase.com/organization/salesforce-ventures,Corporate Venture Capital,795,162,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Salesforce Ventures invests in enterprise tech to help companies connect with their customers in entirely new ways.,171,507,25,Active,2009-01-01,year,https://www.salesforceventures.com,https://www.linkedin.com/company/salesforce-ventures,"Financial Services, Lending and Investments, Software","Enterprise Software, Finance, Financial Services, SaaS, Venture Capital",2,"Marc Benioff, Parker Harris",11-50,"Convertible Note, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed, Venture",,,Private
Redpoint,https://www.crunchbase.com/organization/redpoint-ventures,Venture Capital,790,172,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Redpoint is a venture capital firm that invests in retail, electronic, and technology companies.",245,410,35,Active,1999-01-01,year,http://redpoint.com,http://www.linkedin.com/company/redpointventures,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",6,"Brad Jones, Geoff Yang, John Walecka, Timothy Haley, Tom Dyal, Travis Bryant",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Goodwater Capital,https://www.crunchbase.com/organization/goodwater-capital,Venture Capital,789,25,"Burlingame, California, United States","San Francisco Bay Area, West Coast, Western US",Goodwater Capital is a consumer tech investor that empowers exceptional entrepreneurs everywhere to change the world for the better.,94,656,,Active,2014-01-01,year,http://www.goodwatercap.com,https://www.linkedin.com/company/goodwater-capital,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, FinTech, Venture Capital",2,"Chi-Hua Chien, Eric J. Kim",51-100,"Convertible Note, Early Stage Venture, Late Stage Venture, Non Equity Assistance, Seed, Venture",,,Private
ZhenFund,https://www.crunchbase.com/organization/zhenfund,"Entrepreneurship Program, Venture Capital",789,57,"Beijing, Beijing, China",Asia-Pacific (APAC),"ZhenFund invests in future technology, AI, enterprise service, healthcare, new consumption, and mobile internet among other sectors.",176,546,22,Active,2011-12-14,day,http://www.zhenfund.com,https://www.linkedin.com/company/zhenfund/,"Financial Services, Lending and Investments","Financial Services, Venture Capital",2,"Bob Xiaoping Xu, Victor Wang",101-250,"Early Stage Venture, Seed",,,Private
Hiventures,https://www.crunchbase.com/organization/hiventures,Venture Capital,745,7,"Budapest, Budapest, Hungary","European Union (EU), Europe, Middle East, and Africa (EMEA)",Venture Capital Fund Management Company,47,392,1,Active,1999-09-02,day,https://hiventures.hu/hu,https://www.linkedin.com/company/hiventures/,"Financial Services, Lending and Investments",Venture Capital,,,51-100,"Convertible Note, Early Stage Venture, Private Equity, Seed, Venture",,,Private
Global Brain Corporation,https://www.crunchbase.com/organization/global-brain-corporation,Venture Capital,719,104,"Tokyo, Tokyo, Japan",Asia-Pacific (APAC),Global Brain Corporation is a venture capital firm that invests in companies from seed or early to pre-IPO startups.,232,521,37,Active,1998-01-01,year,https://globalbrains.com,https://www.linkedin.com/company/globalbrain,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",1,Yasuhiko Yurimoto,101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
BoxGroup,https://www.crunchbase.com/organization/boxgroup,Venture Capital,712,128,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",BoxGroup is an early-stage investment fund that invests in technology companies.,25,510,7,Active,2009-01-01,year,http://www.boxgroup.com,https://www.linkedin.com/company/boxgroup,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Impact Investing, Venture Capital",2,"Adam Rothenberg, David Tisch",1-10,"Early Stage Venture, Seed",,,Private
Lerer Hippeau,https://www.crunchbase.com/organization/lerer-ventures,Venture Capital,666,169,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Lerer Hippeau is a seed-stage venture capital firm investing equally across the enterprise and consumer sectors.,110,417,8,Active,2010-01-01,year,http://www.lererhippeau.com,https://www.linkedin.com/company/lerer-hippeau-ventures,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,"Ben Lerer, Eric Hippeau, Ken Lerer",11-50,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Pioneer Fund,https://www.crunchbase.com/organization/pioneer-fund,"Accelerator, Venture Capital",627,17,"Toronto, Ontario, Canada",Great Lakes,Pioneer Fund is a venture capital firm investing in the top Y Combinator startups.,9,529,,Active,2016-12-01,day,http://www.pioneerfund.vc,https://www.linkedin.com/company/pioneerfund,"Financial Services, Lending and Investments, Professional Services","Business Development, Financial Services, Venture Capital",1,Jason Gray,101-250,"Early Stage Venture, Seed, Venture",,,Private
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",623,72,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,82,422,2,Active,2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Reshma Sohoni, Saul Klein",11-50,"Early Stage Venture, Seed",For Profit,,Private
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,"Accelerator, Venture Capital",622,13,"Tallinn, Harjumaa, Estonia","European Union (EU), Europe, Middle East, and Africa (EMEA)","Startup Wise Guys is a venture capital and private equity firm that invests in start ups, B2C and B2B.",145,446,,Active,2012-01-01,year,https://startupwiseguys.com/,https://www.linkedin.com/company/startup-wise-guys,"Financial Services, Lending and Investments","Banking, Financial Services, Venture Capital",5,"Christian Testman, Cristobal Alonso, Herty Tammo, Jon Bradford, Mike Reiner",51-100,"Early Stage Venture, Seed, Venture",For Profit,,Private
Artesian VC,https://www.crunchbase.com/organization/artesian-capital-management,Venture Capital,599,24,"Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia","Artesian VC is a VC firm offering end-to-end venture capital platform for startups at seed, angel, and growth stages.",151,532,5,Active,2004-03-01,day,http://www.artesianinvest.com,http://www.linkedin.com/company/72613,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",6,"Felix Zhang, Gilles Planté, Jeremy Colless, John McCartney, Luke Fay, Matthew Clunies-Ross",51-100,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Spark Capital,https://www.crunchbase.com/organization/spark-capital,Venture Capital,597,106,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Spark Capital is a venture capital firm that invests in the consumer, commerce, fintech, software, frontier, and media sectors.",301,325,19,Active,2005-01-01,year,http://www.sparkcapital.com,http://www.linkedin.com/company/spark-capital-llc,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",5,"Alex Finkelstein, Bijan Sabet, Paul Conway, Santo Politi, Todd Dagres",11-50,"Debt, Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
Partech,https://www.crunchbase.com/organization/partech,Venture Capital,590,107,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Partech is a technology venture firm that invests in seed, venture, and growth stages.",168,381,4,Active,1982-01-01,year,https://partechpartners.com,https://www.linkedin.com/company/partech,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",3,"John Sung Kim, Thomas G. McKinley, Vincent Worms",51-100,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,Private
Slow Ventures,https://www.crunchbase.com/organization/slow-ventures,Venture Capital,582,138,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.",64,438,17,Active,2009-01-01,year,https://slow.co,,"Financial Services, Lending and Investments","Angel Investment, Finance, Venture Capital",5,"Dave Morin, Kevin Colleran, SAM LESSIN, Scott Marlette, Will Quist",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private
